root_id,top_in/out_region,community_labels,predicted_nt_type,predicted_nt_confidence,verified_nt_type,verified_neuropeptide,body_part,function,flow,super_class,class,sub_class,hemilineage,nerve,soma_side,primary_cell_type,alternative_cell_type(s),cable_length_(nm),surface_area_(nm^2),volume_(nm^3),known_nt_simplified,top_nt,idx,sign
720575941071734516,ME.NO_CONS,,,,,,,,,,,,,,right,,,,,,,gaba,0,-1
720575941076956631,ME.NO_CONS,,,,,,,,,,,,,,right,,,,,,,gaba,1,-1
720575941350274352,T2_MESONM.T1_PRONM,soma in VNC,acetylcholine,0.73,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,18B,,left,GFC1,GFC1,,,,,acetylcholine,2,1
720575941350334256,INTTCT.LTCT,soma in VNC,gaba,0.96,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,00A,,left,IN00A059,IN00A059,,,,gaba,gaba,3,-1
720575941350352176,T2_MESONM,soma in VNC,glutamate,0.91,,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,21A,,left,IN21A042,IN21A042,,,,,glutamate,4,-1
720575941350354224,INTTCT.HTCT,soma in VNC,gaba,0.95,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06A,,right,IN06A085,IN06A085,,,,gaba,gaba,5,-1
720575941350374960,WTCT,soma in VNC,glutamate,0.95,glutamate,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,08A,,right,IN08A011,"IN08A011,IN08A018_T2_L",,,,glutamate,glutamate,6,-1
720575941350393904,INTTCT.WTCT,soma in VNC,gaba,0.96,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06B,,right,IN06B047,IN06B047,,,,gaba,gaba,7,-1
720575941350395952,WTCT,soma in VNC,gaba,0.97,gaba,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,00A,,left,IN00A022,IN00A022,,,,gaba,gaba,8,-1
720575941350396464,WTCT,soma in VNC,gaba,0.99,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,00A,,left,IN00A043,IN00A043,,,,gaba,gaba,9,-1
