response,odour,glomerulus,cell_class
27.69,benzaldehyde,DL1,ORN
-3.08,butyric acid,DL1,ORN
0.0,"2,3-butanedione",DL1,ORN
3.08,1-butanol,DL1,ORN
-3.08,cyclohexanone,DL1,ORN
-6.15,cis-3-hexen-1-ol,DL1,ORN
-6.15,ethyl butyrate,DL1,ORN
-9.23,ethyl acetate,DL1,ORN
0.0,geranyl acetate,DL1,ORN
83.08,isoamyl acetate,DL1,ORN
9.23,4-methyl phenol,DL1,ORN
169.23,methyl salicylate,DL1,ORN
21.54,3-methylthio-1-propanol,DL1,ORN
0.0,octanal,DL1,ORN
-3.08,2-octanone,DL1,ORN
0.0,pentyl acetate,DL1,ORN
-3.08,trans-2-hexenal,DL1,ORN
0.0,gamma-valerolactone,DL1,ORN
61.54,benzaldehyde,DL1,PN
30.77,butyric acid,DL1,PN
33.85,"2,3-butanedione",DL1,PN
46.15,1-butanol,DL1,PN
6.15,cyclohexanone,DL1,PN
30.77,cis-3-hexen-1-ol,DL1,PN
95.38,ethyl butyrate,DL1,PN
43.08,ethyl acetate,DL1,PN
33.85,geranyl acetate,DL1,PN
150.77,isoamyl acetate,DL1,PN
21.54,4-methyl phenol,DL1,PN
200.0,methyl salicylate,DL1,PN
40.0,3-methylthio-1-propanol,DL1,PN
24.62,octanal,DL1,PN
30.77,2-octanone,DL1,PN
21.54,pentyl acetate,DL1,PN
43.08,trans-2-hexenal,DL1,PN
67.69,gamma-valerolactone,DL1,PN
0.0,benzaldehyde,DM1,ORN
21.54,butyric acid,DM1,ORN
172.31,"2,3-butanedione",DM1,ORN
9.23,1-butanol,DM1,ORN
0.0,cyclohexanone,DM1,ORN
61.54,cis-3-hexen-1-ol,DM1,ORN
233.85,ethyl butyrate,DM1,ORN
203.08,ethyl acetate,DM1,ORN
12.31,geranyl acetate,DM1,ORN
6.15,isoamyl acetate,DM1,ORN
0.0,4-methyl phenol,DM1,ORN
-6.15,methyl salicylate,DM1,ORN
6.15,3-methylthio-1-propanol,DM1,ORN
3.08,octanal,DM1,ORN
3.08,2-octanone,DM1,ORN
6.15,pentyl acetate,DM1,ORN
18.46,trans-2-hexenal,DM1,ORN
12.31,gamma-valerolactone,DM1,ORN
12.31,benzaldehyde,DM1,PN
