odour,response
apple cider vinegar,22.38773275
benzaldehyde,14.10733844
ethyl acetate,11.34720701
geranyl acetate,11.08433735
hcl,10.73384447
acetoin acetate,9.945235487
propyl acetate,9.244249726
isopentyl acetate,9.069003286
ethylamine,8.981380066
2-3 butandion,8.981380066
ethyl 3-hydroxybutyrate,8.718510405
butyric acid,8.587075575
hexenal,8.499452355
linalool,8.499452355
phenylacetic acid,8.368017525
nonanal,7.973713034
cis-vaccenyl acetate,7.360350493
methyl salicylate,7.316538883
4-methylcyclohexanol,7.316538883
phenylethylamine,7.272727273
3-octanol,7.141292442
phenylacetaldehyde,7.141292442
acetoin acetate,7.053669222
1-hexanol,6.966046002
farnesol,6.659364732
ethyl hexanoate,6.308871851
ammonia,6.002190581
spermidine,5.91456736
geosmin,5.60788609
phenethyl acetate,5.301204819
4-ethylguaiacol,5.257393209
beta-citronellol,5.213581599
cadaverine,4.424972618
phenethyl alcohol,4.162102957
methyl acetate,3.723986857
putrescine,3.548740416
hexyl acetate,3.198247536
pyridine,2.716319825
propionic acid,2.584884995
acetic acid,1.621029573
spermine,1.489594743
mineral oil,0.788608981
