Cell class,Cell type name (Jeanne 2018 nomenclature for LHNs),hemibrain body ID,hemibrain type,Nblast Score (avg) LHNs only,NBlast Rank (x/1496) LHNs only
PN,DA4l,544021095,DA4l,,
PN,DC1,1640594274,DC1,,
PN,DL4,1670934213,DL4,,
PN,DL5,693483018,DL5,,
PN,DM1,542634818,DM1,,
PN,DM4,573333835,DM4,,
PN,DP1m,635062078,DP1m,,
PN,VA2,1977579449,VA2,,
PN,VA6,1881751117,VA6,,
PN,VC1,606090268,VC1,,
PN,VL2a,5813069089,VL2a,,
PN,VL2p,1944507292,VL2p,,
LHN,L1,454045389,LHAD1a1,0.442261659,1
LHN,L1,483716037,LHAD1a1,0.441719868,2
LHN,L1,575806223,LHAD1a1,0.427799606,3
LHN,L11,329211098,LHAV6a3_a,0.554795813,1
LHN,L11,297921527,LHAV6a3_a,0.52649763,5
LHN,L11,360578457,LHAV6a3_a,0.52471795,7
LHN,L12,5813077898,LHAV6a1_b,0.562373856,1
LHN,L12,579562628,LHAV6a1_b,0.541885823,2
LHN,L12,5813009995,LHAV6a1_b,0.523343252,3
LHN,L12,5813129316,LHAV6a1_b,0.513142148,4
LHN,L12,421957711,LHAV6a3_b,0.504550018,6
LHN,L12,574011220,LHAV6a1_b,0.503113782,7
LHN,L12,603681826,LHAV6a3_b,0.479775282,10
LHN,L12,391609333,LHAV6a3_b,0.470003264,13
LHN,L12,668144344,LHAV6a1_b,0.465230032,15
LHN,L12,392640591,LHAV6a1_b,0.463004577,16
LHN,L13,793702856,LHAV6a2_b,0.45953176,8
LHN,L13,665747387,LHAV6a2_b,0.44875874,10
LHN,L15,5813009429,LHPV5c1_d,0.386832899,21
LHN,L15,422307542,LHPV5c1_d,0.381203242,26
LHN,local2,5813055963,LHPV4a11,0.53015398,1
LHN,local2,666450841,LHPV4a11,0.46242149,2
LHN,local5,5813105722,LHAV2m1,0.561500043,3
LHN,local5,696126258,LHAV2m1,0.521048596,7
LHN,local6,356467849,LHPD3a1,0.38748957,5
LHN,local6,417186656,LHPD3a1,0.369144696,8
LHN,local6,479917037,LHPD3a1,0.358812325,10
LHN,local6,418865948,LHPD3a1,0.35569524,13
LHN,local6,386825553,LHPD3a1,0.334659761,23
LHN,local6,480581806,LHPD3a1,0.319957286,26
LHN,ML3,574040939,LHAD1b2_c,0.486737207,2
LHN,ML3,5813052205,LHAD1b2_c,0.469449144,7
LHN,ML3,483017681,LHAD1b2_b,0.461419557,8
LHN,ML3,573683438,LHAD1b2_b,0.460186168,10
LHN,ML3,543321179,LHAD1b2_c,0.454071541,11
LHN,ML3,5813022459,LHAD1b2_b,0.43781394,18
LHN,ML3,824349873,LHAD1b2_a,0.425080308,29
LHN,ML8,509928512,LHPD2b1_a,0.412211671,2
LHN,ML8,5813089504,LHPD2b1_a,0.361760405,4
LHN,ML8,571666400,LHPD2b1_b,0.335828302,
LHN,ML8,548872750,LHPD2b1_a,0.304534545,12
LHN,ML9,640963556,LHPD2a1,0.443699058,1
LHN,ML9,573337611,LHPD2a1,0.431549757,2
LHN,ML9,573329304,LHPD2a1,0.42583172,3
LHN,ML9,542634516,LHPD2a1,0.42212864,4
LHN,ML9,571666434,LHPD2a1,0.42147579,5
LHN,V2,1037510115,LHAV2b2_b,0.60558626,1
LHN,V2,5813016204,LHAV2b2_b,0.55008794,4
LHN,V2,852302504,LHAV2b2_a,0.512422657,6
LHN,V2,851961337,LHAV2b2_a,0.43950302,9
LHN,V3,915724147,LHAV1a2_b,0.51923807,1
LHN,V3,883338122,LHAV1a1,0.49128128,2
LHN,V3,789588935,LHAV1a1,0.42919474,5
LHN,V3,917450071,LHAV1a2_a,0.42267591,8
