Connection,mean # of synapses,LHN surface area (μm2),mean synapse density (μm-2),mean EPSP amplitude (mV)
DA4l/L1',0,1493.5,0,0
DC1/L1',5.666667,1493.5,0.0038,NaN
DL4/L1',0,1493.5,0,0
DL5/L1',0,1493.5,0,0.8422698
DM1/L1',9,1493.5,0.006,1.61617573
DM4/L1',5,1493.5,0.0033,1.20671994
DP1m/L1',6.333333,1493.5,0.0042,NaN
VA2/L1',0,1493.5,0,NaN
VA6/L1',0,1493.5,0,0
VC1/L1',0,1493.5,0,0
VL2a/L1',0,1493.5,0,0
VL2p/L1',0,1493.5,0,0
DA4l/L11',0,2063.2,0,0
DC1/L11',0,2063.2,0,0
DL4/L11',0,2063.2,0,0
DL5/L11',0,2063.2,0,0
DM1/L11',14.66667,2063.2,0.0071,1.90507386
DM4/L11',1,2063.2,0.0005,0
DP1m/L11',3,2063.2,0.0015,0
VA2/L11',2.333333,2063.2,0.0011,1.64688543
VA6/L11',0,2063.2,0,0
VC1/L11',0,2063.2,0,0
VL2a/L11',0,2063.2,0,0
VL2p/L11',0,2063.2,0,0
DA4l/L12',0,1848.6,0,0
DC1/L12',0.2,1848.6,0.0001,0
DL4/L12',0,1848.6,0,0
DL5/L12',3.3,1848.6,0.0018,0
DM1/L12',2,1848.6,0.0011,0
DM4/L12',6.6,1848.6,0.0036,0
DP1m/L12',11.3,1848.6,0.0061,2.03873945
VA2/L12',5.5,1848.6,0.003,0
VA6/L12',0,1848.6,0,0
VC1/L12',0.1,1848.6,0.0001,0
VL2a/L12',0.6,1848.6,0.0003,0
VL2p/L12',0.8,1848.6,0.0004,0.68786344
DA4l/L15',0,1349.1,0,0
DC1/L15',1.5,1349.1,0.0011,1.01693282
DL4/L15',0,1349.1,0,0
DL5/L15',0,1349.1,0,0
DM1/L15',0,1349.1,0,0
DM4/L15',0,1349.1,0,0
DP1m/L15',1,1349.1,0.0007,0
VA2/L15',0,1349.1,0,0.9789831
VA6/L15',0,1349.1,0,0
VC1/L15',0,1349.1,0,NaN
VL2a/L15',0,1349.1,0,NaN
VL2p/L15',0,1349.1,0,0
DA4l/local2',0,2770.7,0,0
DC1/local2',1.5,2770.7,0.0005,0
DL4/local2',0,2770.7,0,0
DL5/local2',65.5,2770.7,0.0236,3.27651952
DM1/local2',0,2770.7,0,0
DM4/local2',4,2770.7,0.0014,0
DP1m/local2',26,2770.7,0.0094,0
VA2/local2',0.5,2770.7,0.0002,
VA6/local2',5,2770.7,0.0018,0
VC1/local2',0,2770.7,0,0
VL2a/local2',0.5,2770.7,0.0002,NaN
VL2p/local2',2.5,2770.7,0.0009,NaN
DA4l/local5',2.5,3256.7,0.0008,0.65942807
DC1/local5',18.5,3256.7,0.0057,NaN
DL4/local5',2,3256.7,0.0006,0
DL5/local5',0,3256.7,0,NaN
DM1/local5',0,3256.7,0,NaN
DM4/local5',0,3256.7,0,0
DP1m/local5',0,3256.7,0,NaN
VA2/local5',0,3256.7,0,0
VA6/local5',104,3256.7,0.0319,6.62604114
VC1/local5',0,3256.7,0,0
VL2a/local5',95,3256.7,0.0292,2.104459
VL2p/local5',0,3256.7,0,0.61719868
DA4l/local6',34.16667,1363,0.0251,5.88633018
DC1/local6',5.333333,1363,0.0039,0
DL4/local6',0.333333,1363,0.0002,0
DL5/local6',0.333333,1363,0.0002,0
DM1/local6',0.333333,1363,0.0002,0
DM4/local6',0,1363,0,0
DP1m/local6',0,1363,0,0
VA2/local6',0,1363,0,0
VA6/local6',0,1363,0,0
VC1/local6',0,1363,0,0
VL2a/local6',0,1363,0,0
VL2p/local6',0,1363,0,0
DA4l/ML3',0,2379.8,0,0
DC1/ML3',0,2379.8,0,0
DL4/ML3',0,2379.8,0,0
DL5/ML3',0.428571,2379.8,0.0002,NaN
DM1/ML3',1.142857,2379.8,0.0005,0
DM4/ML3',0,2379.8,0,0
DP1m/ML3',2.285714,2379.8,0.001,0
VA2/ML3',3.571429,2379.8,0.0015,NaN
VA6/ML3',0.142857,2379.8,0.0001,NaN
VC1/ML3',6.857143,2379.8,0.0029,1.18859636
VL2a/ML3',6.571429,2379.8,0.0028,NaN
