pre_type,post_hemibrain_type,post_fafb_type,mean_EPSP_amplitude
DA4l_adPN,LHAD1a1,LHAD1a1,0.0
DL4_adPN,LHAD1a1,LHAD1a1,0.0
DL5_adPN,LHAD1a1,LHAD1a1,0.8422698
DM1_lPN,LHAD1a1,LHAD1a1,1.61617573
DM4_adPN,LHAD1a1,LHAD1a1,1.20671994
VA6_adPN,LHAD1a1,LHAD1a1,0.0
VC1_lPN,LHAD1a1,LHAD1a1,0.0
VL2a_adPN,LHAD1a1,LHAD1a1,0.0
VL2p_adPN,LHAD1a1,LHAD1a1,0.0
DA4l_adPN,LHAV6a3_a,LHAV6a3,0.0
DC1_adPN,LHAV6a3_a,LHAV6a3,0.0
DL4_adPN,LHAV6a3_a,LHAV6a3,0.0
DL5_adPN,LHAV6a3_a,LHAV6a3,0.0
DM1_lPN,LHAV6a3_a,LHAV6a3,1.90507386
DM4_adPN,LHAV6a3_a,LHAV6a3,0.0
DP1m_adPN,LHAV6a3_a,LHAV6a3,0.0
VA2_adPN,LHAV6a3_a,LHAV6a3,1.64688543
VA6_adPN,LHAV6a3_a,LHAV6a3,0.0
VC1_lPN,LHAV6a3_a,LHAV6a3,0.0
VL2a_adPN,LHAV6a3_a,LHAV6a3,0.0
VL2p_adPN,LHAV6a3_a,LHAV6a3,0.0
DA4l_adPN,LHAV6a1_b,LHAV6a1,0.0
DC1_adPN,LHAV6a1_b,LHAV6a1,0.0
DL4_adPN,LHAV6a1_b,LHAV6a1,0.0
DL5_adPN,LHAV6a1_b,LHAV6a1,0.0
DM1_lPN,LHAV6a1_b,LHAV6a1,0.0
DM4_adPN,LHAV6a1_b,LHAV6a1,0.0
DP1m_adPN,LHAV6a1_b,LHAV6a1,2.03873945
VA2_adPN,LHAV6a1_b,LHAV6a1,0.0
VA6_adPN,LHAV6a1_b,LHAV6a1,0.0
VC1_lPN,LHAV6a1_b,LHAV6a1,0.0
VL2a_adPN,LHAV6a1_b,LHAV6a1,0.0
VL2p_adPN,LHAV6a1_b,LHAV6a1,0.68786344
DA4l_adPN,LHPV5c1_d,LHPV5c1,0.0
DC1_adPN,LHPV5c1_d,LHPV5c1,1.01693282
DL4_adPN,LHPV5c1_d,LHPV5c1,0.0
DL5_adPN,LHPV5c1_d,LHPV5c1,0.0
DM1_lPN,LHPV5c1_d,LHPV5c1,0.0
DM4_adPN,LHPV5c1_d,LHPV5c1,0.0
DP1m_adPN,LHPV5c1_d,LHPV5c1,0.0
VA2_adPN,LHPV5c1_d,LHPV5c1,0.9789831
VA6_adPN,LHPV5c1_d,LHPV5c1,0.0
VL2p_adPN,LHPV5c1_d,LHPV5c1,0.0
DA4l_adPN,LHPV4a11,LHPV4a11,0.0
DC1_adPN,LHPV4a11,LHPV4a11,0.0
DL4_adPN,LHPV4a11,LHPV4a11,0.0
DL5_adPN,LHPV4a11,LHPV4a11,3.27651952
DM1_lPN,LHPV4a11,LHPV4a11,0.0
DM4_adPN,LHPV4a11,LHPV4a11,0.0
DP1m_adPN,LHPV4a11,LHPV4a11,0.0
VA6_adPN,LHPV4a11,LHPV4a11,0.0
VC1_lPN,LHPV4a11,LHPV4a11,0.0
DA4l_adPN,LHAV2m1,LHAV2m1,0.65942807
DL4_adPN,LHAV2m1,LHAV2m1,0.0
DM4_adPN,LHAV2m1,LHAV2m1,0.0
VA2_adPN,LHAV2m1,LHAV2m1,0.0
VA6_adPN,LHAV2m1,LHAV2m1,6.62604114
VC1_lPN,LHAV2m1,LHAV2m1,0.0
VL2a_adPN,LHAV2m1,LHAV2m1,2.104459
VL2p_adPN,LHAV2m1,LHAV2m1,0.61719868
DA4l_adPN,LHPD3a1,LHPD3a1,5.88633018
DC1_adPN,LHPD3a1,LHPD3a1,0.0
DL4_adPN,LHPD3a1,LHPD3a1,0.0
DL5_adPN,LHPD3a1,LHPD3a1,0.0
DM1_lPN,LHPD3a1,LHPD3a1,0.0
DM4_adPN,LHPD3a1,LHPD3a1,0.0
DP1m_adPN,LHPD3a1,LHPD3a1,0.0
VA2_adPN,LHPD3a1,LHPD3a1,0.0
VA6_adPN,LHPD3a1,LHPD3a1,0.0
VC1_lPN,LHPD3a1,LHPD3a1,0.0
VL2a_adPN,LHPD3a1,LHPD3a1,0.0
VL2p_adPN,LHPD3a1,LHPD3a1,0.0
DA4l_adPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",0.0
DC1_adPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",0.0
DL4_adPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",0.0
DM1_lPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",0.0
DM4_adPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",0.0
DP1m_adPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",0.0
VC1_lPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",1.18859636
VL2p_adPN,LHAD1b2_a,"LHAD1b2_a,LHAD1b2_c",0.71611048
DA4l_adPN,LHPD2b1_a,LHPD2b1_a,0.0
DC1_adPN,LHPD2b1_a,LHPD2b1_a,0.0
DL4_adPN,LHPD2b1_a,LHPD2b1_a,0.0
