,cell_type_side,idx,cell_type,super_class,cell_class,cell_sub_class,nt,sign,side
0,"(AVLP346,AVLP348)a_left",0,"(AVLP346,AVLP348)a",central,,,acetylcholine,1,left
1,"(AVLP346,AVLP348)a_right",1,"(AVLP346,AVLP348)a",central,,,acetylcholine,1,right
2,"(AVLP346,AVLP348)b_left",2,"(AVLP346,AVLP348)b",central,,,acetylcholine,1,left
3,"(AVLP346,AVLP348)b_right",3,"(AVLP346,AVLP348)b",central,,,acetylcholine,1,right
4,"(M_adPNm4,M_adPNm5)a_left",4,"(M_adPNm4,M_adPNm5)a",central,ALPN,multiglomerular,acetylcholine,1,left
5,"(M_adPNm4,M_adPNm5)a_right",5,"(M_adPNm4,M_adPNm5)a",central,ALPN,multiglomerular,acetylcholine,1,right
6,"(M_adPNm4,M_adPNm5)b_left",6,"(M_adPNm4,M_adPNm5)b",central,ALPN,multiglomerular,acetylcholine,1,left
7,"(M_adPNm4,M_adPNm5)b_right",7,"(M_adPNm4,M_adPNm5)b",central,ALPN,multiglomerular,acetylcholine,1,right
8,"(M_adPNm4,M_adPNm5)c_left",8,"(M_adPNm4,M_adPNm5)c",central,ALPN,multiglomerular,acetylcholine,1,left
9,"(M_adPNm4,M_adPNm5)d_left",9,"(M_adPNm4,M_adPNm5)d",central,ALPN,multiglomerular,acetylcholine,1,left
10,"(M_adPNm4,M_adPNm5)d_right",10,"(M_adPNm4,M_adPNm5)d",central,ALPN,multiglomerular,acetylcholine,1,right
11,"(M_lPNm12,M_lPNm13)a_left",11,"(M_lPNm12,M_lPNm13)a",central,ALPN,multiglomerular,acetylcholine,1,left
12,"(M_lPNm12,M_lPNm13)a_right",12,"(M_lPNm12,M_lPNm13)a",central,ALPN,multiglomerular,acetylcholine,1,right
13,"(M_lPNm12,M_lPNm13)b_left",13,"(M_lPNm12,M_lPNm13)b",central,ALPN,multiglomerular,acetylcholine,1,left
14,"(M_lPNm12,M_lPNm13)b_right",14,"(M_lPNm12,M_lPNm13)b",central,ALPN,multiglomerular,acetylcholine,1,right
