leftid,rightid,celltype,annotated_name,left_name,right_name,cluster
no pair,8447845,sensory,visual,no pair,Rh6PR-10;right,0
no pair,2544902,sensory,visual,no pair,Rh6PR-5;right,0
2206279,no pair,sensory,visual,Rh6PR-3;left,no pair,0
no pair,2532841,sensory,visual,no pair,Rh6PR-6;right,0
no pair,1856512,sensory,visual,no pair,Rh6PR-4;right,0
2216445,no pair,sensory,visual,Rh6PR-1;left,no pair,0
no pair,946481,sensory,visual,no pair,Rh6PR-8;right,0
2215247,no pair,sensory,visual,Rh6PR-7;left,no pair,0
10241716,no pair,sensory,visual,Rh6PR-5;left,no pair,0
no pair,902038,sensory,visual,no pair,Rh6PR-3;right,0
no pair,16267292,sensory,visual,no pair,Rh6PR-9;right,0
2216131,no pair,sensory,visual,Rh6PR-6;left,no pair,0
no pair,900032,sensory,visual,no pair,Rh6PR-1;right,0
37365,no pair,sensory,visual,Rh6PR-9;left,no pair,0
no pair,7566199,sensory,visual,no pair,Rh6PR-7;right,0
2215622,no pair,sensory,visual,Rh6PR-8;left,no pair,0
2215447,no pair,sensory,visual,Rh6PR-4;left,no pair,0
2200028,no pair,sensory,visual,Rh6PR-2;left,no pair,0
6791927,3790004,sensory,olfactory,67b ORN left,67b ORN right,1
3410499,2608843,sensory,olfactory,42b ORN left,42b ORN right,1
7542938,3885215,sensory,olfactory,74a ORN left,74a ORN right,1
7527710,4073353,sensory,olfactory,13a ORN left,13a ORN right,1
3464773,3827211,sensory,olfactory,42a ORN left,42a ORN right,1
3511996,3958234,sensory,olfactory,94a & 94b ORN left,94a & 94b ORN right,1
3716797,3963891,sensory,olfactory,45a ORN left,45a ORN right,1
8877795,3805641,LN,no official annotation,ventral LN left,ventral LN right,1
3774568,3980315,sensory,olfactory,82a ORN left,82a ORN right,1
3465659,3840345,sensory,olfactory,35a ORN left,35a ORN right,1
2610744,3985829,sensory,thermo-warm,AN-L-Sens-B3-ACal-05 (Non-ORN 1),AN-R-Sens-B3-ACal-05 (Non-ORN 1),2
2611805,2582391,sensory,olfactory,1a ORN left,1a ORN right,2
3768025,2584838,sensory,olfactory,30a ORN left,30a ORN right,2
3771794,7658146,sensory,olfactory,49a ORN left,49a ORN right,2
3410506,3893195,sensory,olfactory,85c ORN left,85c ORN right,2
3708875,3872653,sensory,olfactory,33a ORN left,33a ORN right,2
3158543,7719547,sensory,olfactory,63a ORN left,63a ORN right,2
3592997,3865952,sensory,olfactory,24a ORN left,24a ORN right,2
3547397,2571761,sensory,olfactory,83a ORN left,83a ORN right,2
3486950,4700182,other,mPN,vine left,vine right,2
6340439,4076389,sensory,olfactory,59a ORN left,59a ORN right,2
3694515,3896629,sensory,olfactory,47a & 33b ORN left,47a & 33b ORN right,2
40045,3954014,sensory,olfactory,22c ORN left,22c ORN right,2
5093516,4023881,sensory,thermo-warm,AN-L-Sens-B3-ACal-04 (Non-ORN 2),AN-R-Sens-B3-ACal-04 (Non-ORN 2),2
5090549,3813723,sensory,olfactory,45b ORN left,45b ORN right,2
3736500,16621864,other,mPN,ginkgo 2 left,ginkgo 2 right,3
5327961,11184236,PN,gustatory-external 2nd_order PN,KS LN 3b left,KS LN 3b right,3
15716701,15556868,sensory,gustatory-external,MN-L-Sens-B2-ACp-02,MN-R-Sens-B2-ACp-02,3
12260696,15615589,sensory,gustatory-external,MN-L-Sens-B2-ACp-06,MN-R-Sens-B2-ACp-05,3
