,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign,coords
0,720575940628857210,PS180,left,acetylcholine,central,,,SMPpv2_ventral,CP1_ventral,90918,1,
1,720575940626838909,CB0924,right,acetylcholine,central,,,VLPl2_medial,BLAv2_medial,78925,1,
2,720575940626046919,AVLP429,right,acetylcholine,central,,,,,74871,1,
3,720575940630311383,AVLP151,right,acetylcholine,central,,,putative_primary,putative_primary,98362,1,
4,720575940633370649,LC27,right,acetylcholine,visual_projection,,,,,112656,1,
5,720575940638709326,LTe07,right,glutamate,visual_projection,,,,,125851,-1,
6,720575940614754797,MTe12,right,acetylcholine,visual_projection,,,,,21559,1,
7,720575940622660490,MTe04,right,acetylcholine,visual_projection,,,,,56437,1,
8,720575940659799937,VS4,right,acetylcholine,visual_projection,,,putative_primary,putative_primary,138708,1,
9,720575940626729349,LPC1,right,acetylcholine,visual_projection,,,,,78273,1,
10,720575940643249608,CB0925,right,acetylcholine,central,,,VLPl&d1_lateral,BLAv1_posterior,132647,1,
11,720575940619414918,LC18,right,acetylcholine,visual_projection,,,VPNp2,,39101,1,
12,720575940629394885,CB0926,right,acetylcholine,central,,,VLPl1_or_VLPl5,BLVa3_or_4,93653,1,
13,720575940619380485,AVLP293,right,acetylcholine,central,,,VLPa1_lateral,DALl2_lateral,38994,1,
14,720575940627895056,LLPC2,right,acetylcholine,visual_projection,,,,,85323,1,
15,720575940617252445,LLPC2,right,acetylcholine,visual_projection,,,,,30259,1,
16,720575940621276585,LLPC3,right,acetylcholine,visual_projection,,,,,48440,1,
17,720575940630700348,VST1,right,acetylcholine,visual_projection,,,putative_primary,putative_primary,100391,1,
18,720575940619061317,MTe10,right,glutamate,visual_projection,,,VPNl&d1_lateral,BLAl2_lateral,37796,-1,
19,720575940618864833,CB0927,right,acetylcholine,central,,,VLPl1_or_VLPl5,BLVa3_or_4,36988,1,
20,720575940611576050,AVLP288,right,acetylcholine,central,,,VLPa1_lateral,DALl2_lateral,11709,1,
21,720575940644053540,AVLP305,right,acetylcholine,central,,,VLPa1_lateral,DALl2_lateral,133237,1,
22,720575940626812433,CB0929,right,acetylcholine,central,,,VLPl&p1_lateral,BLVp2_anterior,78764,1,
23,720575940621761263,LHAD2c3c,right,acetylcholine,central,,,VLPd1,DPLam,51329,1,
24,720575940615111087,LAL007,left,acetylcholine,central,,,putative_primary,putative_primary,22766,1,
25,720575940631815993,SMP096,left,glutamate,central,,,SMPad1,DAMv1_or_2,106060,-1,
26,720575940618183765,CB0930,right,acetylcholine,central,,,VLPl&d1_dorsal,BLAv1_medial,34114,1,
27,720575940647207044,CL064,right,gaba,central,,,putative_primary,putative_primary,136190,-1,
28,720575940639598909,CB0931,left,glutamate,central,,,SMPad2,DAMd2_or_3,127881,-1,
29,720575940623294647,SMP106a,right,glutamate,central,,,SMPad1,DAMv1_or_2,60122,-1,
30,720575940614623455,PI,left,acetylcholine,endocrine,pars_intercerebralis,,DILP__prim,DILP__prim,21024,1,
31,720575940624185095,MBON02,left,glutamate,central,MBON,,putative_primary,putative_primary,65151,-1,
32,720575940603765280,PI,left,acetylcholine,endocrine,pars_intercerebralis,,DILP__prim,DILP__prim,312,1,
33,720575940618152256,"SMP472,SMP473",left,acetylcholine,central,,,putative_primary,putative_primary,33950,1,
34,720575940629701484,PS126,left,acetylcholine,central,,,putative_primary,putative_primary,95180,1,
35,720575940622318085,OCG01e,right,acetylcholine,visual_projection,ocellar,ocellar_interneuron,,,54580,1,
36,720575940622825608,"SMP472,SMP473",left,acetylcholine,central,,,putative_primary,putative_primary,57401,1,
37,720575940630692143,hDeltaJ,left,acetylcholine,central,CX,columnar,DM1_CX_p,DPMm1_CX_p,100343,1,
38,720575940631780812,SMP106a,right,glutamate,central,,,SMPad1,DAMv1_or_2,105931,-1,
39,720575940612707811,SMP087,right,glutamate,central,,,SMPad1,DAMv1_or_2,15013,-1,
40,720575940624117245,MBON01,right,glutamate,central,MBON,,putative_primary,putative_primary,64745,-1,
41,720575940643174048,CRE027,right,glutamate,central,,,SMPad3,DAMd1,132593,-1,
42,720575940630210375,PS005,left,glutamate,central,,,SMPad2,DAMd2_or_3,97820,-1,
43,720575940615763573,SMP116,left,glutamate,central,,,SMPad3,DAMd1,25033,-1,
