idx,hitting_time,cell_group
0,2.0054444277008776,T5c_right
1,1.7606050553749568,Tm16_right
2,2.0236353205678097,Tm7_right
3,2.016931333595691,TmY15_right
4,1.0,Tm1_right
5,2.0,T4b_right
6,2.0020094117947016,T5b_right
7,2.0,T5a_right
8,2.0009148401293704,T5a_right
9,2.0007784771708987,T5b_right
10,1.0249433009431206,R1-6_left
11,1.0,R1-6_left
12,2.0,T4a_right
13,2.0002872257149127,T5b_right
14,1.6153431133971936,Dm3v_left
15,1.285714253783226,R1-6_left
16,2.002246527860899,T5b_right
17,1.0,Tm9_right
18,2.0,T4a_right
19,2.006923974329522,T5b_right
20,2.0,T4a_right
21,2.0,T5a_right
22,0.0,L2_left
23,4.392839751552673,JO-B_left
24,2.0,T4a_right
25,1.4689411321349817,Dm2_right
26,1.135368561377327,Dm3q_right
27,4.0590213571598985,JO-mz_left
28,1.5452636085189306,Sm01_right
29,1.0,Mi9_right
30,2.0,T4c_right
31,2.000299125594213,T5d_right
32,2.0020621053220076,T4d_right
33,2.0,R1-6_right
34,1.9093666450765543,Mi15_right
35,1.957108037339895,TmY3_right
36,2.0,T4b_right
37,2.0,T4a_left
38,1.1774754411949382,Mi15_right
39,2.7609102467227986,TmY20_right
40,2.4576623796583585,TmY31_right
41,1.0,Mi9_right
42,1.9675356155030808,T2a_left
43,1.4904807830906583,Dm3q_right
44,2.0,T4b_right
45,2.0003307027549067,Li22_right
46,1.8730157614934422,Dm10_right
47,2.005501290277986,Tm5f_right
48,3.8892211809725907,CB1783_left
49,4.538403863638708,JO-EVM_left
50,2.001340478266843,T5b_right
51,3.2507004225511427,R1-6_left
52,4.329719428904006,720575940602309600_right
53,4.203155234873738,CB1937_right
54,3.796809939902362,AN_AVLP_41_right
55,5.178319769292331,LB1c_left
56,4.328602511424361,CB1538_left
57,4.279574449264751,AN_GNG_SAD_13_left
58,1.0,Tm3_right
59,2.0,T3_right
60,4.250757957752686,WED031_right
61,3.7770922767716497,AN_IPS_WED_1_left
62,4.540585698084387,AN_GNG_175_right
63,4.1295920313210885,AN_GNG_142_left
64,2.660633972383247,LC31b_left
65,2.0008098967439345,T5c_right
66,4.422495749267968,JO-EVM_left
67,4.341380632772832,DNge116_right
68,4.78062709898593,KCapbp-ap2_right
69,4.390406281866285,KCg-m_right
70,2.0049235602980824,T2a_right
71,2.000439092716621,T5a_right
72,4.591856306738076,KCab_right
73,4.14603434075654,CB1881_right
74,1.246616975915681,Dm3p_left
75,4.36566922928813,AN_FLA_GNG_2_right
76,3.5483343244072962,WED072_left
77,4.286340356511377,JO-CA_left
78,2.0030463729612036,T5a_right
79,4.742119956159305,hDeltaJ_left
80,4.1591920535935705,ER3d_left
81,2.0025219018193368,T5c_right
82,4.820228121275847,vDeltaM_left
83,4.561817636752772,KCab_left
84,3.1060067949868184,KCg-d_left
85,4.84477797511168,"vDeltaG,vDeltaH_right"
86,4.376219213914319,CB2965_left
87,2.0482401059590885,Tm8a_right
88,0.0,L1_right
89,2.003298856391488,T2a_right
90,3.82495098960113,DNpe008_left
91,4.172263831717228,CB1066_right
92,1.0,Tm9_right
93,3.523888825788937,cLP01_right
94,4.024135586595162,CB1638_right
95,4.297151021624472,AN_IPS_GNG_6_left
96,4.354836823851174,CB2364_right
97,4.003925501363096,EPGt_left
98,4.8164633664557055,hDeltaJ_left
99,2.024952455369169,T2_right
100,2.0,T4c_right
101,1.2846783165604507,Mi4_right
102,4.4262566965783074,720575940602953388_left
103,3.949327263833111,SAD007_right
104,3.665191446278767,CB2377_left
105,4.8325544733962715,LHAV2m1_right
106,2.957572413838699,LTe66_left
107,4.053665768131168,LAL059_right
108,2.0,T4a_left
109,4.920247704324399,BM_InOm_left
110,4.04121516869664,CB1283_left
111,1.0,Mi1_right
112,3.07805177427368,KCg-d_right
113,4.7586095223695075,hDeltaI_right
114,4.334891541683629,KCab_right
115,2.4021987749982534,LC13_right
116,2.0688952550345308,LC12_left
117,3.5428081770378763,CB2269_right
118,4.8232589764529035,KCab_right
119,3.546591639878112,"ER3a_a,ER3a_d_left"
120,4.5403547558915225,KCg-m_right
121,1.0,R1-6_left
122,3.5169040868610684,SMP277_right
123,3.94723321888708,CB3534_right
124,3.522020684423932,CB3861_left
125,3.7668817450117285,WED013_left
126,3.608127138766938,"WEDPN6B, WEDPN6C_left"
127,4.111537689199345,"AVLP011,AVLP012_left"
128,4.84445398977965,KCapbp-ap2_right
129,2.2640180105610215,LCe06_left
130,1.2311425915970289,Dm3p_left
131,5.032092517046131,BM_InOm_left
132,4.524434878947997,CB3234_left
133,4.173674396448056,CB3646_left
134,3.9788319748648187,FB2E_left
135,5.2186718439692115,BM_InOm_left
136,1.0,Mi1_right
137,3.8602976211467985,PS202_right
138,1.202888663109418,Dm2_right
139,2.7914240096847522,LC17_left
140,4.774529105378899,DA1_lPN_left
141,4.730601894638461,SIP003_a_left
142,4.0193900906245315,CB1122_left
143,4.868455903499654,vDeltaM_left
144,3.2703469589543044,CB1468_right
145,3.5713266327481783,SMP461_left
146,4.9491167444004756,LB1c_right
147,3.8699457400293396,KCab-p_left
148,1.0,Tm2_right
149,2.5600970931080482,LC18_left
150,3.8580610679967133,"LAL003,LAL044_right"
151,4.042817930128232,PLP048_left
152,1.0,Mi9_right
153,2.271948892490417,Y4_right
154,1.0,Tm2_right
155,3.931717411058494,KCg-m_left
156,1.0680156918555572,Tm4_left
157,1.0,Mi1_right
158,3.769987402761009,CL253_right
159,1.9226485795782393,T2a_right
160,2.628859143423591,Li17_left
161,2.0,T4c_right
162,2.000003225582674,T5d_left
163,3.800794382167723,PS097_left
164,4.632818719891729,ORN_DM2_right
165,2.0,T4d_right
166,2.000213232875644,T5a_right
167,1.0311797127280076,pDm8_right
168,1.9970974814197289,MeTu1_left
169,2.000710790708155,T5a_right
170,4.195350624436338,SA_DLV_right
171,1.7842446719716945,Tm25_left
172,1.009221351907689,Tm3_right
173,1.024970394267909,Tm4_right
174,2.000623123100411,T5c_left
175,2.534092444774211,LC6_right
176,2.0,T4c_right
177,2.0000248222886023,T5d_left
178,2.001408968710087,T5b_left
179,2.0,T4c_right
180,1.721563703057388,MTe04_right
181,2.1472444215116213,LC12_right
182,2.0,T5d_left
183,1.0,R1-6_left
184,1.9037591572423307,TmY3_right
185,1.589107161916934,Dm3v_right
186,4.707014385962455,PFNp_left
187,4.730776348311342,ORN_VM5d_left
188,1.0,C2_right
189,3.0120378489956874,cLP01_right
190,3.943077419958157,CB0194_left
191,5.808507267063918,720575940603446118_right
192,4.461335872111782,M_lvPNm47_right
193,1.0,R1-6_left
194,2.0959703826709797,LC16_left
195,4.711793937478827,M_adPNm5_right
196,4.767376107515046,AN_AVLP_48_right
197,4.794244080930712,M_VPNml66_right
198,3.8087662320964637,AN_GNG_92_left
199,2.2785354498145973,Li03_left
200,4.288399312746971,AN_AVLP_2_left
201,4.8085317915471535,720575940603461478_right
202,4.814023930954951,VL2a_adPN_right
203,2.000508232525238,T5d_left
204,1.0,Mi9_right
205,2.0179935788627685,Mi13_right
206,4.291441000808936,720575940603479910_right
207,2.0,T5d_left
208,3.67770953130399,DNpe015_left
209,2.0001069732969805,T4a_right
210,4.810343211574736,CB2211_right
211,2.472029759419826,LC13_right
212,1.0,Tm2_right
213,2.1028036258904774,Sm12_right
214,2.0,T4d_right
215,2.000336647666064,T4c_right
216,2.0,T4b_right
217,1.0,Tm9_left
218,4.124942866989176,CB2710_left
219,3.3110673368016803,CB2106_left
220,3.971778537878043,720575940603511584_left
221,4.324793576770955,CB0840_left
222,4.095325138276132,SA_DLV_right
223,4.722383794512616,KCapbp-ap1_left
224,2.0,T4a_right
225,2.044011052116052,TmY4_right
226,4.099755676555562,CB3877_center
227,4.004153294573617,AN_GNG_202_left
228,2.7539505213535214,LC17_right
229,2.55623944676327,MeMe_e01_right
230,2.0003325625284463,T5d_left
231,4.6106511192811155,AN_GNG_47_right
232,4.035259956593579,CB1750_left
233,4.226121289979701,LAL132a_left
234,4.461248935873788,FS4B_right
235,2.542705727314206,LC21_left
236,3.971911116790794,CB1513_left
237,2.0,T4d_right
238,1.0,Tm9_right
239,2.00017193427872,T4c_right
240,3.1867661386825197,"PLP188,PLP189_right"
241,2.0,T4a_right
242,3.978745868056678,CB0977_left
243,3.7697988691201196,AN_AVLP_53_left
244,2.6865015700667794,LC11_right
245,3.942058448445885,CB3687_right
246,3.6948765038529574,DNpe054_left
247,4.549734636920742,SIP003_b_left
248,3.3500725243742204,SLP412_a_left
249,3.969639631017574,DNae004_left
250,4.374852253123389,AN_AVLP_25_left
251,2.7314792237431558,LC44_right
252,4.030675342983978,AN_GNG_VES_8_left
253,4.080370609643834,AN_GNG_139_left
254,2.0,T5b_left
255,4.263999676087206,720575940603605024_left
256,2.2360040241013803,T4a_left
257,3.09862866172723,CB2049_left
258,4.268288095244095,CB2558_left
259,1.2664532318311954,MeTu3a_left
260,4.402844777832862,CB2432_right
261,3.5458826268819723,CL245_right
262,4.319486324258787,CB0955_right
263,4.2776907160444155,SAD052_right
264,2.0598914834483355,LC4_right
265,4.941491524259187,BM_InOm_left
266,4.8482266463162444,KCab_right
267,4.744981023761386,ORN_VA7m_left
268,4.052188043694765,CB1229_left
269,4.582362968989096,"SLP114,SLP115_right"
270,4.344895110539877,CB3858_left
271,2.795721535846585,LC18_right
272,3.61897039326478,IB015_right
273,4.786008906053268,KCab_right
274,4.828078368966533,KCab_right
275,4.017671177264842,CB1925_left
276,3.966306019945114,"SAD045,SAD046_left"
277,4.818161565107379,vDeltaM_right
278,4.142688155482305,FB7L_left
279,4.2069155681767025,CB2253_left
280,3.4624964859677894,CB1654_left
281,4.182996765426052,KCab-p_left
282,4.781535147826426,KCab_right
283,2.0,T5b_left
284,3.911528943862489,CB2433_right
285,3.955132932803024,SMP411a_right
286,4.099469165309394,CB1069_right
287,1.0,Tm9_left
288,1.9230806488061594,T2_right
289,4.326980213035798,AN_SAD_FLA_1_right
290,4.4290548149677065,AVLP550b_right
291,3.825312486459632,CB1322_left
292,2.000041953865255,T5b_right
293,3.965097973242483,CB1910_right
294,1.0,L4_right
295,3.669038534180697,AVLP541a_left
296,4.368453949455436,KCg-m_right
297,4.145177929177811,CB1235_left
298,4.846664268081731,KCab_right
299,3.294055013056495,AVLP051_right
300,3.0755507567487754,CB0732_right
301,4.867817382814958,BM_Ant_right
302,3.8321104575965768,CB1055_right
303,4.74697651790336,FB7D_left
304,4.65271610646253,CB2214_left
305,4.428020799385317,SLP450_right
306,4.635543209798147,PFNa_right
307,4.707256006359536,KCapbp-ap1_right
308,4.834584849015005,KCab_right
309,4.01371983578705,SMP411b_right
310,2.0,T5a_right
311,1.0,T1_left
312,4.220406310526508,IPC_left
313,5.548696018726682,SA_VTV_4_right
314,3.377861999290804,CB1980_left
315,3.7382283691281315,AN_AVLP_GNG_23_right
316,2.0,T3_right
317,4.542871794227161,720575940603768497_right
318,4.631292266553486,KCapbp-ap1_right
319,5.480026305524225,720575940603776702_left
320,1.5653619226059712,Mi2_left
321,3.7870567710545697,DNge117_left
322,4.174461911645508,AN_multi_54_right
323,3.6830844114642387,IB044_left
324,4.100570085758646,AN_GNG_163_right
325,2.8579753448188776,Tlp5_right
326,2.0,T4c_right
327,3.8002226792055245,AN_GNG_AMMC_3_right
328,3.2768410800258048,PLP018_right
329,4.070715618199641,CB2081_left
330,4.392816216230321,vDeltaB_right
331,1.0,Tm20_right
332,4.139862583672627,AN_AVLP_GNG_23_left
333,2.260171757635113,LPLC1_right
334,2.0013363805190676,T5c_left
335,4.839356589222053,HRN_VP1d_left
336,1.113487798039321,Mi13_left
337,2.639356971010631,LC10e_right
338,4.477924951719818,PEN_a(PEN1)_right
339,3.0002271938046814,PVLP008_left
340,3.0047457357903586,PVLP008_left
341,4.886715348641578,ORN_DA3_right
342,3.238649732191573,CB2420_right
343,4.8586596535558675,ORN_DA2_right
344,2.932978705706207,Y12_right
345,1.6094373162959053,Mi9_left
346,2.0000544580288278,T4d_right
347,1.9886006779761285,TmY9q_right
348,4.828930889737757,vDeltaM_right
349,1.0,L4_left
350,1.0,yDm8_left
351,3.965801967889114,CB3678_right
352,4.523171502529038,SLP405_left
353,3.4626872215742863,CB0115_right
354,1.6184764929535427,Dm3v_left
355,2.46115293389761,LC10d_right
356,3.7978448815753487,CL006_left
357,4.9094414925487,ORN_VA1d_left
358,4.763688499467244,ORN_VM5d_left
359,2.001559443843599,T5b_right
360,1.6358181568167325,Dm3q_left
361,4.0981491249342366,WED161_left
362,3.5233768949124467,DNpe055_left
363,4.573726557775424,CB2921_left
364,3.6741154821706195,PLP160_left
365,3.575467364777772,AN_multi_16_left
366,4.497967963976616,KCg-m_left
367,4.47241263295169,KCg-m_left
368,1.0,Tm1_right
369,3.0834932695260653,CB1418_right
370,2.439096771442829,LTe58_left
371,4.032149927443172,CB1754_left
372,4.335592524004955,CB1469_left
373,3.1074044411305506,CL293_left
374,1.0,Tm2_right
375,3.6350697739416638,"ER3a_a,ER3a_d_left"
376,2.467926197503093,TmY31_left
377,3.2310790154673366,CB3587_left
378,4.2433700154320775,CB1622_right
379,2.0,T4c_right
380,3.7555276424171278,CB3113_left
381,2.7040031841064343,LC21_right
382,4.78496884684538,ORN_VM5v_left
383,1.0,Tm20_right
384,4.117799859485774,AVLP010_left
385,2.9241364331240827,LPi09_left
386,3.954962196496082,CB1029_left
387,4.32075590320511,ER1_left
388,1.0,L5_right
389,3.8006418451440123,AVLP541a_right
390,4.78308496270459,FS2_right
391,3.0682173057551836,AOTU039_right
392,4.4976413840592055,CB1125_left
393,4.708675147654176,hDeltaB_left
394,2.114787171217998,Li01_left
395,1.0177607333166157,Tm4_right
396,1.0,Mi1_right
397,4.023289696811376,CB2245_right
398,2.001316860618289,T5a_right
399,4.301744972901695,CB3106_right
400,3.0527348459135966,PVLP112a_right
401,4.783294657179779,PFNp_right
402,4.785549620535317,PFNp_right
403,4.6874078301189,vDeltaA_a_left
404,4.014668269584451,CB1586_right
405,3.968509740112704,CB1369_left
406,2.9761920648688607,LC9_left
407,2.4258653414661304,Tm36_left
408,2.0031636932592254,TmY11_right
409,2.506438346070606,LC10a_left
410,4.27012671106397,CB2610_left
411,3.0519018497051906,CB0154_right
412,3.737920845504658,CB1772_left
413,4.435371343571648,CB2432_left
414,2.465688006039279,LC10d_right
415,3.946241531239991,ER4d_right
416,3.647618380118325,SMP332b_right
417,2.4077892587193364,LC28a_left
418,3.2927237612440696,CL258_left
419,4.134949438820198,PLP042b_right
420,2.6240380058132855,LC41_right
421,4.2767899315493185,oviDNb_right
422,3.8371444290038035,AVLP048_left
423,4.738504186114692,KCab_left
424,4.757843074005727,D_adPN_left
425,1.0008166881875393,L4_right
426,4.421977866445667,KCab_left
427,2.321818920684332,LPLC2_left
428,4.587678595568838,SLP405_right
429,2.489410226373127,MeTu4c_right
430,4.767565324813526,CB1686_right
431,3.9727922407433125,KCg-m_right
432,1.0,Tm1_right
433,3.8319081972130897,PS061_left
434,1.1834465056048602,MTe50_left
435,1.9860034728879636,TmY11_right
436,2.000452759052811,T2a_right
437,1.0044289632187855,Dm11_right
438,3.8555502330300913,PS292_right
439,2.3432116905132094,LPLC1_right
440,4.6881452846934,LB3_left
441,4.751807800166749,hDeltaA_right
442,4.004100549919271,CB2620_right
443,4.682432463299642,720575940604023724_right
444,2.032635775813683,aMe5_right
445,2.258154037393594,TmY31_right
446,5.119667028776567,"LB1a,LB1d_left"
447,2.5785978825968288,LTe48_right
448,5.054054181863311,CB2353_right
449,2.3855242657867146,LLPC3_right
450,4.107681175842384,LAL150a_right
451,4.762084977099598,FS1A_left
452,1.0,Tm2_right
453,2.567667244134603,LLPC2_left
454,4.737177509950899,KCab_left
455,4.305231321858109,JO-B_left
456,3.9381766294684755,AVLP218a_right
457,2.662693243030975,LC21_left
458,4.578753893526822,FC2C_left
459,4.600171902797795,FC1D_left
460,4.590123431405969,FC3_right
461,2.606613970849229,Li17_left
462,4.340822018228565,"FB7G,FB7I_left"
463,3.6950099272328703,CB0125_right
464,4.525386104138502,CB2129_right
465,1.0280962731685945,Tm3_right
466,3.5830657932453374,CB2774_left
467,1.0,Tm9_right
468,3.247487016422246,cLP02_left
469,2.000239499061534,T5b_right
470,1.0,L5_right
471,1.795745197940652,Tm5e_right
472,3.8282008193602133,AVLP016_right
473,4.149697521095923,AN_GNG_AVLP_1_left
474,4.367539872099493,KCg-m_left
475,1.0,Tm1_right
476,2.6815779889108,Li05_left
477,4.168930385576974,CB3865_left
478,3.032003845185371,CB2396_right
479,2.047708292048652,TmY5a_left
480,3.5534577483224945,SMP461_left
481,4.361671853373005,DNp33_left
482,4.32827025402472,KCg-m_left
483,3.995084281245856,PS209_left
484,2.000123461843507,T5b_right
485,3.482707182162876,PS087_right
486,4.676286067456237,hDeltaB_right
487,2.0139598676255437,Y3_left
488,3.9748435834517553,CB3011_right
489,1.0,T1_left
490,2.4569736642463154,LLPC1_right
491,1.0002130469526027,Dm15_right
492,4.483809625475878,JO-EDM_left
493,4.687576599383676,FC1D_right
494,2.3995481110209576,LC13_right
495,4.40584356538662,FS4B_left
496,2.57336962356204,LC10e_right
497,4.451091798824859,KCg-m_left
498,4.3176428714676875,CB1267_left
499,4.299925361319308,KCg-m_left
500,4.76501603283262,KCab_left
501,4.421947667979964,CB1207_left
502,3.103435360169523,PLP071_left
503,2.0,T4c_right
504,4.76594374684817,CB2835_right
505,4.911195874139604,CB0444_right
506,1.0,Mi1_right
507,1.0,Tm1_right
508,4.782724973175197,PFNp_right
509,3.7530015732615976,AOTU062_left
510,3.5602166377150457,SLP290_left
511,3.936197496666627,VES007_left
512,4.0042962755395894,CB0327_right
513,4.6557055017817675,KCapbp-ap1_left
514,4.380570391685863,CB2987_left
515,1.0,Tm2_left
516,1.2485898386473133,Mi15_left
517,2.0005295103702236,T5b_left
518,2.0015681342148253,T4b_right
519,4.741536962314558,KCapbp-m_left
520,1.0,Tm2_right
521,1.8392325673145529,Dm10_right
522,1.0004511379531973,Tm5c_right
523,4.218206862776503,SA_DMT_ADMN_7_left
524,1.0,Mi1_right
525,2.00002693188506,T5d_left
526,4.506924285501123,FS4A_left
527,3.083736577980919,PS034_right
528,2.0,T4a_left
529,1.9534690558025267,Tm27_left
530,2.0,T3_left
531,4.324300008628516,CB3875_center
532,1.8793963336383483,Mi4_right
533,4.877189373838307,BM_InOm_left
534,5.393670249402536,720575940604211628_left
535,4.9488794608887,BM_InOm_left
536,2.6091327743153974,LLPC1_right
537,2.4481366544528314,LC13_right
538,1.0,L4_right
539,5.0271198265859205,BM_InOm_left
540,2.0000735872576816,T2a_right
541,2.0005474882340843,T5c_left
542,3.5218167943293626,CB1262_right
543,3.892258528349048,CB1996_right
544,2.643141079234864,LC15_right
545,5.08801187792606,BM_InOm_right
546,1.9773340539508353,Dm18_right
547,4.678740601054146,vDeltaA_a_left
548,4.56881344955245,FS3_left
549,4.62202549703038,CB3283_right
550,5.002470467644927,LN-DN1_left
551,4.42345338863582,SMP591_right
552,4.068462537165245,SLP387_right
553,1.8349533856658318,Tm27_right
554,4.788838646352664,CB2055_right
555,1.777949897760252,T2_right
556,2.4279200587462553,KCg-d_left
557,5.053801105951491,BM_InOm_right
558,3.8989231741977504,CB1331a_left
559,1.0,Mi1_right
560,3.360314431104046,CL091_right
561,4.952516272731751,BM_InOm_left
562,1.525953191205764,Dm3v_right
563,3.9826758137960523,AVLP219a_right
564,3.7620510093035153,CB1466_left
565,2.3053094645040937,LC22_left
566,4.964277193900316,BM_InOm_left
567,5.191500200008743,BM_InOm_right
568,4.667565211235394,CB1100_right
569,4.334837956969943,JO-B_left
570,4.084933769009382,AN_AVLP_PVLP_5_right
571,2.000470603706787,TuBu07_right
572,2.6607081184360366,LC11_left
573,5.021203796289676,BM_InOm_left
574,3.710002596705062,DNpe009_right
575,4.299595890567002,WEDPN7B_right
576,3.8703693700143478,CB2795_right
577,3.247278087379533,CB3513b_right
578,1.0,Tm9_left
579,3.1408741076718294,PLP055_right
580,4.583852994735922,JO-FDA_left
581,4.716862287749406,720575940604299552_left
582,4.6946709324805935,KCapbp-ap1_left
583,1.1958371842274063,MeTu3b_right
584,1.0,C3_right
585,4.426714495020688,mAL_f4_left
586,4.723275818621102,KCab_left
587,4.736125289224055,KCapbp-ap1_right
588,2.0,T5c_right
589,2.2346275674298126,LC6_right
590,2.0003732531293945,T5c_right
591,2.0,T4b_left
592,3.507719285704182,CB1780_left
593,4.260993048596747,CB2423_left
594,1.9738557206181064,T2a_right
595,2.0,T4b_left
596,2.223212292761935,LC16_left
597,5.14707011107963,BM_vOcci_vPoOr_right
598,3.86366560961394,LHPV2e1_a_right
