,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
52,720575940621202670,OCG01e,left,acetylcholine,visual_projection,ocellar,ocellar_interneuron,16435,1
95,720575940619251182,LC14a1,right,acetylcholine,optic,bilateral,,13243,1
96,720575940622037139,LC14a1,right,acetylcholine,optic,bilateral,,18133,1
165,720575940627800728,cL08,left,gaba,visual_centrifugal,,,29529,-1
170,720575940615281361,LT36,left,gaba,visual_centrifugal,,,7865,-1
273,720575940620609739,mALC5,left,gaba,visual_centrifugal,,,15146,-1
297,720575940628226697,MeMe_e04,right,glutamate,visual_projection,bilateral,,30445,-1
339,720575940633070732,cL02a,left,gaba,visual_centrifugal,,,39199,-1
362,720575940624313834,mALC5,right,gaba,visual_centrifugal,,,22938,-1
371,720575940620738645,cLLPM01,right,glutamate,visual_centrifugal,,,15452,-1
406,720575940626044942,OA-AL2b2,right,acetylcholine,visual_centrifugal,,,26165,1
535,720575940628154364,cL22b,right,gaba,visual_centrifugal,,,30280,-1
625,720575940633572004,LPT50,right,gaba,visual_projection,bilateral,,39827,-1
793,720575940618674379,LC17,left,acetylcholine,visual_projection,,,12416,1
795,720575940632126506,aMe5,left,acetylcholine,visual_projection,,,37609,1
796,720575940625733453,aMe10,left,acetylcholine,visual_projection,bilateral,,25613,1
799,720575940624259720,l-LNv,left,serotonin,optic,bilateral,,22805,1
800,720575940635089945,cML01,left,glutamate,visual_centrifugal,,,41156,-1
801,720575940625123514,LC28b,left,acetylcholine,visual_projection,,,24554,1
802,720575940608610652,LC17,left,acetylcholine,visual_projection,,,2009,1
809,720575940639756240,LLPC3,left,acetylcholine,visual_projection,,,45022,1
810,720575940633923298,VS8,left,acetylcholine,visual_projection,,,40218,1
811,720575940627692677,LC10a,left,acetylcholine,visual_projection,,,29282,1
812,720575940617010905,LC10d,left,acetylcholine,visual_projection,,,9950,1
813,720575940627975952,LC10a,left,acetylcholine,visual_projection,,,29929,1
814,720575940623989941,LC10d,left,acetylcholine,visual_projection,,,22205,1
