,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
4,720575940633370649,LC27,right,acetylcholine,visual_projection,,,38997,1
5,720575940638709326,LTe07,right,glutamate,visual_projection,,,43650,-1
6,720575940614754797,MTe12,right,acetylcholine,visual_projection,,,7349,1
7,720575940622660490,MTe04,right,acetylcholine,visual_projection,,,19520,1
8,720575940659799937,VS4,right,acetylcholine,visual_projection,,,48279,1
9,720575940626729349,LPC1,right,acetylcholine,visual_projection,,,26923,1
11,720575940619414918,LC18,right,acetylcholine,visual_projection,,,13385,1
14,720575940627895056,LLPC2,right,acetylcholine,visual_projection,,,29525,1
15,720575940617252445,LLPC2,right,acetylcholine,visual_projection,,,10331,1
16,720575940621276585,LLPC3,right,acetylcholine,visual_projection,,,16715,1
17,720575940630700348,VST1,right,acetylcholine,visual_projection,,,34663,1
18,720575940619061317,MTe10,right,glutamate,visual_projection,,,12945,-1
35,720575940622318085,OCG01e,right,acetylcholine,visual_projection,ocellar,ocellar_interneuron,18885,1
72,720575940621268651,LMTe01,right,glutamate,visual_projection,,,16693,-1
95,720575940619251182,LC14a1,right,acetylcholine,optic,bilateral,,13200,1
96,720575940622037139,LC14a1,right,acetylcholine,optic,bilateral,,18304,1
97,720575940620532400,LC10c,right,acetylcholine,visual_projection,,,15117,1
101,720575940636646392,LC28b,right,acetylcholine,visual_projection,,,42015,1
105,720575940619434432,LC9,right,acetylcholine,visual_projection,,,13411,1
108,720575940624019992,LTe09,right,acetylcholine,visual_projection,,,22212,1
112,720575940612779237,LC18,right,acetylcholine,visual_projection,,,5129,1
113,720575940629549049,LC9,right,acetylcholine,visual_projection,,,32658,1
115,720575940625752451,LC6,right,acetylcholine,visual_projection,,,25270,1
118,720575940626745392,LPLC2,right,acetylcholine,visual_projection,,,26959,1
119,720575940609058628,LC21,right,acetylcholine,visual_projection,,,2319,1
120,720575940628337103,LC9,right,acetylcholine,visual_projection,,,30455,1
121,720575940627623467,LC18,right,acetylcholine,visual_projection,,,28964,1
122,720575940634721272,LC21,right,acetylcholine,visual_projection,,,40310,1
