"id","group","functional.cell.type","OilBl","E2Hex","GerAc","Prpyl","IPenA","Et3HB","Nonnl","CiVAc","MetSl","HexAc","PeEtA","AceAc","EtHex","2PnAc","5OdMx","BeZal","bCitr","1HxOl","Frnsl","WatBl","Cdvrn","Sprmn","Acoin","MtAct","AcAcd","PrpnA","BtrAc","Amnia","Pyrdn","PAcHd","HCL36","PAcAc","Vingr","Geosn","VinGe","PEtAm","ClrBL","ClrB2","FlyFM","EtAmn","Ptscn","Lnlol","23BTD","Sprdn","CO21P"
"nm20140723c2","PN","D",-0.5,-3,2.25,0.5,-0.5,-1,4.25,1.75,1,4.25,-0.25,0.25,0,1.75,-1.5,-4.5,3,3.5,-0.5,1.5,2.25,0.75,2.5,3.75,2.25,3.5,-3,2,-0.25,2.5,2.75,2.25,1.75,-1,1,3.75,0.5,1.5,0,-3.25,2,6.75,1.5,-1,0.25
"nm20140828c0","PN","D",1.75,10,1,7,10,4.5,1,-1,2.5,6.25,2.75,7,3,2,1.25,0.75,3.5,14,1.75,3,2.5,1.5,1,2.5,-1.25,1,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nm20141029c0","PN","D",6.25,1.5,3.75,0.5,0,1,4,0.5,1.75,4.5,2.75,1.75,6,4.75,0.5,4.25,1.75,7.75,2,2.25,5,4,-1.5,4.5,1.25,4,-0.5,-4.75,-1.25,4,6.25,4.5,-3.5,4.25,0,3.5,10,6.75,1.5,-5.25,1,15.5,1.5,8.5,9.5
"nm20160217c0","PN","D",0.75,1.25,4.25,0.75,0,2.25,6.5,5.5,4.25,3.5,-3,-2.75,0.75,0.75,3,1,3.25,3,5,1.5,3,5.25,1.75,-1,0.5,2.75,4.75,2.25,7,5.5,2,2,4.5,5,4,5.5,0.25,1.5,0.75,-5.25,-0.25,2,2.5,4.25,0
"nm20160304c3","PN","D",2,0.5,1.25,-0.75,0.25,1.25,20.25,-0.25,0.5,2,1,0,-0.5,1,0,0.5,1.25,1.5,-0.75,-0.25,-0.75,2.5,0,0.5,1,-0.5,0,0.25,1,-1.5,-1,1,-1.5,2,0.5,0,-2,4.75,0.75,-0.25,0.25,-3,0.25,0.75,NA
"nm20160310c1","PN","D",5,6.75,7,3.5,5.5,0.75,13.5,2.25,3.5,-1,1.25,-1,0,0.75,4,-1.5,2.5,1.5,-1.75,0,3.75,0.5,0.5,5.25,2.75,8.5,5.5,0.25,6.5,1,0.25,3,3,6.5,2.25,0.75,3.25,3,0.5,1.25,0.75,2.5,-1,-0.25,NA
"nm20140723c3","PN","DA1",1,1,0,1.5,-0.5,-0.5,0,0,-1.25,0.5,-1,-0.25,1.5,0.5,2,3,0.25,2,2,2.5,1,1,-1,-0.5,1,3,1,3,-0.25,1,1.75,1,1.75,0.25,-1,0.5,-0.5,0,0.5,0.5,0.5,-0.5,0,0,NA
"nm20141107c1","PN","DA1",0,0,0,0,0,0,0,0,0,0,-3,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
"nm20141113c0","PN","DA1",3.5,0,0,0.5,1,0.25,1,0,0,0.25,1,0.25,-0.25,0.5,1.75,0,0.5,1,1.5,2,1,2.5,7.5,2,3,3.75,3.5,4.5,0.25,-1.5,2.25,4,3,0.75,3,1,5.5,2.75,1.5,2.5,3.75,4.75,4.75,4.5,NA
"nm20141117c2","PN","DA1",1.25,7,4,8.25,18.5,13,4.5,2,3.75,13.75,0.25,2.75,11.5,-7.5,13.5,24,0.5,18,0,0,12,-6,0.5,2.5,1.5,9,8,2.5,1.5,4.5,7.25,2,1.5,1.5,10.5,1.5,4.5,6,9,12.5,6,2,7,0.5,2
"nm20141119c0","PN","DA1",1,2,2,3.5,1.5,5,0,0,0.5,1,0,15.5,2.5,0.5,0.5,20,0,9,0.5,0,2,2.5,11,5.5,1,1,0.5,1.5,2.5,0,0.5,0,0,0,2.5,-1,2,0.5,0,7,1.5,0.5,-2.25,0.5,3
"nm20140822c1","PN","DC1",3.25,0.5,1,41.75,1,0.5,0.5,-1.5,0.75,0.75,-2.5,-0.25,1,-2.75,-2,-2,1.75,-3.25,1.5,5.5,3,2.5,3.75,19.75,3,0,2.75,4.5,8,-2.25,-1,3.25,1,3,2,1.5,2.25,3.5,-1.5,0.25,0.5,4.25,2.75,1.5,4.5
"nm20140717c0","PN","DC2",-0.5,15,0.5,1,0,57.25,1,4,1.5,38,0.5,4,4.75,4.5,5.25,1.5,2.5,53.25,5,0.75,5.75,1,1.75,4,2.5,5,2,3,-3.25,0.75,1.5,2.75,3.25,-1.5,2.5,0.5,-2.5,-1.75,0.25,1.5,-1.25,3.75,0.25,5,10
"nm20140721c3","PN","DC2",0,2,1.5,1.5,2.75,54.5,0.25,0,0.5,25.5,0.5,1,0.5,1.5,1.5,0.5,0,41,0,0.75,0.5,1.5,0.5,0.5,0,1,2.5,1.25,0.5,1.5,1.5,-1.75,0,0.5,0.5,8.5,0,2.5,1.5,7,1.5,0.5,10,5,-0.5
"nm20140723c1","PN","DC2",4.5,7,0.5,-0.5,0,38.5,1,0.5,2,33.5,2,5.5,0.25,-1.75,-1,0.5,3,31.25,0.5,2,2.25,1,3,0.75,1.75,2,3.5,2.5,1.75,-0.5,1.75,1,3,-1.25,2,1.5,1.5,0.5,2,2,2.25,-0.75,2,3,2
"nm20140821c2","PN","DC2",0.75,42.5,5.5,20,-0.25,54.5,0.5,0.5,6,44.5,0,20.5,2.25,1,14.5,4,0.5,83.5,0.5,2.5,0.5,-1,6,29.5,1,-0.75,2.5,3,4.5,-1,0.75,6.5,0.5,3,3.5,0.5,3,1,-0.5,1.5,-1.75,5.75,2.25,0.5,6.75
"nm20140822c4","PN","DC2",3.5,32.5,2.5,-2.5,4,29.75,-0.5,2.5,0,35.5,0,1,0,0.5,0,0,3.25,85.25,0.5,4.25,7,-1.25,3,1.5,1,0.25,1,2.75,-2,1.5,-0.25,1,2,3.5,0.5,1.5,3.75,1.25,1.5,2.25,3.75,4.5,8.5,1.25,NA
"nm20140903c0","PN","DC2",0.25,23,1,6,6,37,2,1,1,0.5,3.5,4.75,5.5,3,4.5,5.25,-2,44,3,0.25,1.25,2,2.5,3.5,1,1.5,2.5,5.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nm20140903c2","PN","DC2",2,35.25,2.75,9.25,-0.5,39.75,8.25,0.75,5.75,1.5,3,4.75,2.75,-1,6.5,1.5,2,78,1,3,1.75,1,1.5,11,4.5,-1,0.5,2.5,4,5.75,6.5,4.5,-4.25,-0.75,2.75,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nm20140909c0","PN","DC2",1,35.5,0.5,2.5,0,60,0.75,1,1.5,2,1,1,2,0.25,2.5,3,1.5,87.25,1,5,0.75,1,2.25,3.75,-0.5,1.5,2.5,1.5,1.5,1,0.5,1.25,0.25,1.75,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nm20140912c1","PN","DC2",1,12,0,0,0,27.5,1,0,0.25,1.5,0,1.25,3,0,0,-1,-0.25,44,0,-0.5,0.5,0,-0.75,2,0.75,0.25,0,0.75,1,0.25,-1,2.5,-0.5,0.75,-1.25,0.75,3.5,0.5,2,2,1,1.5,1,-0.75,0.5
"nm20141008c3","PN","DC2",1.5,10,0.5,1,-0.5,30.5,0,0,1,1.25,1,0.25,0.75,1,1,0,-0.25,40,0,1.25,0,0,0,0.5,0.5,1.5,1,1,0.5,-0.5,0,1.5,0.25,2.5,1.5,0.5,1,4.5,2.25,5.5,-1.25,2,-1.25,6.25,2.5
