"","cell.type","anatomy.group","pnt","tract","type","skeleton.type","coreLH","id","skeleton.type_pnt"
"130123c1","AD1a1","AD1a","AD1"," ","ON","DyeFill","TRUE","130123c1","DyeFill_AD1"
"130523c0","AD1a1","AD1a","AD1"," ","ON","DyeFill","TRUE","130523c0","DyeFill_AD1"
"130524c0","AD1a1","AD1a","AD1"," ","ON","DyeFill","TRUE","130524c0","DyeFill_AD1"
"Cha-F-000258","AD1a1","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-000258","FlyCircuit_AD1"
"L1739#1","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1739#1","MCFO_AD1"
"L1740#2","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#2","MCFO_AD1"
"L1740#3","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#3","MCFO_AD1"
"L1740#7","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#7","MCFO_AD1"
"L1740#8","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#8","MCFO_AD1"
"L1740#11","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#11","MCFO_AD1"
"121206c0","AD1a2","AD1a","AD1"," ","ON","DyeFill","TRUE","121206c0","DyeFill_AD1"
"140402c0","AD1a2","AD1a","AD1"," ","ON","DyeFill","TRUE","140402c0","DyeFill_AD1"
"140403c1","AD1a2","AD1a","AD1"," ","ON","DyeFill","TRUE","140403c1","DyeFill_AD1"
"Gad1-F-400257","AD1a2","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-400257","FlyCircuit_AD1"
"Cha-F-400246","AD1a2","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-400246","FlyCircuit_AD1"
"VGlut-F-400170","AD1a2","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-400170","FlyCircuit_AD1"
"L1721#1","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1721#1","MCFO_AD1"
"L1721#2","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1721#2","MCFO_AD1"
"L1721#3","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1721#3","MCFO_AD1"
"L1812#1","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1812#1","MCFO_AD1"
"L1812#2","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1812#2","MCFO_AD1"
"Cha-F-300272","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-300272","FlyCircuit_AD1"
"Cha-F-100223","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-100223","FlyCircuit_AD1"
"VGlut-F-600424","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-600424","FlyCircuit_AD1"
"VGlut-F-700522","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-700522","FlyCircuit_AD1"
"VGlut-F-200319","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-200319","FlyCircuit_AD1"
"VGlut-F-400267","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-400267","FlyCircuit_AD1"
"120925c1","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","120925c1","DyeFill_AD1"
"121122c1","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","121122c1","DyeFill_AD1"
"121127c1","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","121127c1","DyeFill_AD1"
"121128c3","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","121128c3","DyeFill_AD1"
"Gad1-F-700076","AD1a5","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-700076","FlyCircuit_AD1"
"Gad1-F-400155","AD1a7","AD1a","AD1"," ","ON","FlyCircuit"," ","Gad1-F-400155","FlyCircuit_AD1"
"VGlut-F-800061","AD1a8","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-800061","FlyCircuit_AD1"
"120726c3","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120726c3","DyeFill_AD1"
"120813c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120813c1","DyeFill_AD1"
"120816c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120816c1","DyeFill_AD1"
"120911c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120911c0","DyeFill_AD1"
"121101c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","121101c0","DyeFill_AD1"
"130726c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130726c1","DyeFill_AD1"
"130729c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130729c0","DyeFill_AD1"
"130731c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130731c1","DyeFill_AD1"
"130801c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130801c1","DyeFill_AD1"
"130802c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130802c0","DyeFill_AD1"
"130910c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130910c0","DyeFill_AD1"
"140514c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","140514c1","DyeFill_AD1"
