id,group,functional.cell.type,OilBl,E2Hex,GerAc,Prpyl,IPenA,Et3HB,Nonnl,CiVAc,MetSl,HexAc,PeEtA,AceAc,EtHex,2PnAc,5OdMx,BeZal,bCitr,1HxOl,Frnsl,WatBl,Cdvrn,Sprmn,Acoin,MtAct,AcAcd,PrpnA,BtrAc,Amnia,Pyrdn,PAcHd,HCL36,PAcAc,Vingr,Geosn,VinGe,PEtAm,ClrBL,ClrB2,FlyFM,EtAmn,Ptscn,Lnlol,23BTD,Sprdn,CO21P,tidy_id,cell_type
nm20140723c2,PN,D,-0.5,-3.0,2.25,0.5,-0.5,-1.0,4.25,1.75,1.0,4.25,-0.25,0.25,0.0,1.75,-1.5,-4.5,3.0,3.5,-0.5,1.5,2.25,0.75,2.5,3.75,2.25,3.5,-3.0,2.0,-0.25,2.5,2.75,2.25,1.75,-1.0,1.0,3.75,0.5,1.5,0.0,-3.25,2.0,6.75,1.5,-1.0,0.25,140723c2,
nm20140828c0,PN,D,1.75,10.0,1.0,7.0,10.0,4.5,1.0,-1.0,2.5,6.25,2.75,7.0,3.0,2.0,1.25,0.75,3.5,14.0,1.75,3.0,2.5,1.5,1.0,2.5,-1.25,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,140828c0,
nm20141029c0,PN,D,6.25,1.5,3.75,0.5,0.0,1.0,4.0,0.5,1.75,4.5,2.75,1.75,6.0,4.75,0.5,4.25,1.75,7.75,2.0,2.25,5.0,4.0,-1.5,4.5,1.25,4.0,-0.5,-4.75,-1.25,4.0,6.25,4.5,-3.5,4.25,0.0,3.5,10.0,6.75,1.5,-5.25,1.0,15.5,1.5,8.5,9.5,141029c0,
nm20160217c0,PN,D,0.75,1.25,4.25,0.75,0.0,2.25,6.5,5.5,4.25,3.5,-3.0,-2.75,0.75,0.75,3.0,1.0,3.25,3.0,5.0,1.5,3.0,5.25,1.75,-1.0,0.5,2.75,4.75,2.25,7.0,5.5,2.0,2.0,4.5,5.0,4.0,5.5,0.25,1.5,0.75,-5.25,-0.25,2.0,2.5,4.25,0.0,160217c0,
nm20160304c3,PN,D,2.0,0.5,1.25,-0.75,0.25,1.25,20.25,-0.25,0.5,2.0,1.0,0.0,-0.5,1.0,0.0,0.5,1.25,1.5,-0.75,-0.25,-0.75,2.5,0.0,0.5,1.0,-0.5,0.0,0.25,1.0,-1.5,-1.0,1.0,-1.5,2.0,0.5,0.0,-2.0,4.75,0.75,-0.25,0.25,-3.0,0.25,0.75,,160304c3,
nm20160310c1,PN,D,5.0,6.75,7.0,3.5,5.5,0.75,13.5,2.25,3.5,-1.0,1.25,-1.0,0.0,0.75,4.0,-1.5,2.5,1.5,-1.75,0.0,3.75,0.5,0.5,5.25,2.75,8.5,5.5,0.25,6.5,1.0,0.25,3.0,3.0,6.5,2.25,0.75,3.25,3.0,0.5,1.25,0.75,2.5,-1.0,-0.25,,160310c1,
nm20140723c3,PN,DA1,1.0,1.0,0.0,1.5,-0.5,-0.5,0.0,0.0,-1.25,0.5,-1.0,-0.25,1.5,0.5,2.0,3.0,0.25,2.0,2.0,2.5,1.0,1.0,-1.0,-0.5,1.0,3.0,1.0,3.0,-0.25,1.0,1.75,1.0,1.75,0.25,-1.0,0.5,-0.5,0.0,0.5,0.5,0.5,-0.5,0.0,0.0,,140723c3,
nm20141107c1,PN,DA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,141107c1,
nm20141113c0,PN,DA1,3.5,0.0,0.0,0.5,1.0,0.25,1.0,0.0,0.0,0.25,1.0,0.25,-0.25,0.5,1.75,0.0,0.5,1.0,1.5,2.0,1.0,2.5,7.5,2.0,3.0,3.75,3.5,4.5,0.25,-1.5,2.25,4.0,3.0,0.75,3.0,1.0,5.5,2.75,1.5,2.5,3.75,4.75,4.75,4.5,,141113c0,
nm20141117c2,PN,DA1,1.25,7.0,4.0,8.25,18.5,13.0,4.5,2.0,3.75,13.75,0.25,2.75,11.5,-7.5,13.5,24.0,0.5,18.0,0.0,0.0,12.0,-6.0,0.5,2.5,1.5,9.0,8.0,2.5,1.5,4.5,7.25,2.0,1.5,1.5,10.5,1.5,4.5,6.0,9.0,12.5,6.0,2.0,7.0,0.5,2.0,141117c2,
nm20141119c0,PN,DA1,1.0,2.0,2.0,3.5,1.5,5.0,0.0,0.0,0.5,1.0,0.0,15.5,2.5,0.5,0.5,20.0,0.0,9.0,0.5,0.0,2.0,2.5,11.0,5.5,1.0,1.0,0.5,1.5,2.5,0.0,0.5,0.0,0.0,0.0,2.5,-1.0,2.0,0.5,0.0,7.0,1.5,0.5,-2.25,0.5,3.0,141119c0,
nm20140822c1,PN,DC1,3.25,0.5,1.0,41.75,1.0,0.5,0.5,-1.5,0.75,0.75,-2.5,-0.25,1.0,-2.75,-2.0,-2.0,1.75,-3.25,1.5,5.5,3.0,2.5,3.75,19.75,3.0,0.0,2.75,4.5,8.0,-2.25,-1.0,3.25,1.0,3.0,2.0,1.5,2.25,3.5,-1.5,0.25,0.5,4.25,2.75,1.5,4.5,140822c1,
nm20140717c0,PN,DC2,-0.5,15.0,0.5,1.0,0.0,57.25,1.0,4.0,1.5,38.0,0.5,4.0,4.75,4.5,5.25,1.5,2.5,53.25,5.0,0.75,5.75,1.0,1.75,4.0,2.5,5.0,2.0,3.0,-3.25,0.75,1.5,2.75,3.25,-1.5,2.5,0.5,-2.5,-1.75,0.25,1.5,-1.25,3.75,0.25,5.0,10.0,140717c0,
nm20140721c3,PN,DC2,0.0,2.0,1.5,1.5,2.75,54.5,0.25,0.0,0.5,25.5,0.5,1.0,0.5,1.5,1.5,0.5,0.0,41.0,0.0,0.75,0.5,1.5,0.5,0.5,0.0,1.0,2.5,1.25,0.5,1.5,1.5,-1.75,0.0,0.5,0.5,8.5,0.0,2.5,1.5,7.0,1.5,0.5,10.0,5.0,-0.5,140721c3,
nm20140723c1,PN,DC2,4.5,7.0,0.5,-0.5,0.0,38.5,1.0,0.5,2.0,33.5,2.0,5.5,0.25,-1.75,-1.0,0.5,3.0,31.25,0.5,2.0,2.25,1.0,3.0,0.75,1.75,2.0,3.5,2.5,1.75,-0.5,1.75,1.0,3.0,-1.25,2.0,1.5,1.5,0.5,2.0,2.0,2.25,-0.75,2.0,3.0,2.0,140723c1,
nm20140821c2,PN,DC2,0.75,42.5,5.5,20.0,-0.25,54.5,0.5,0.5,6.0,44.5,0.0,20.5,2.25,1.0,14.5,4.0,0.5,83.5,0.5,2.5,0.5,-1.0,6.0,29.5,1.0,-0.75,2.5,3.0,4.5,-1.0,0.75,6.5,0.5,3.0,3.5,0.5,3.0,1.0,-0.5,1.5,-1.75,5.75,2.25,0.5,6.75,140821c2,
nm20140822c4,PN,DC2,3.5,32.5,2.5,-2.5,4.0,29.75,-0.5,2.5,0.0,35.5,0.0,1.0,0.0,0.5,0.0,0.0,3.25,85.25,0.5,4.25,7.0,-1.25,3.0,1.5,1.0,0.25,1.0,2.75,-2.0,1.5,-0.25,1.0,2.0,3.5,0.5,1.5,3.75,1.25,1.5,2.25,3.75,4.5,8.5,1.25,,140822c4,
nm20140903c0,PN,DC2,0.25,23.0,1.0,6.0,6.0,37.0,2.0,1.0,1.0,0.5,3.5,4.75,5.5,3.0,4.5,5.25,-2.0,44.0,3.0,0.25,1.25,2.0,2.5,3.5,1.0,1.5,2.5,5.5,2.5,,,,,,,,,,,,,,,,,140903c0,
