cell_type,OilBl,E2Hex,GerAc,Prpyl,IPenA,Et3HB,Nonnl,CiVAc,MetSl,HexAc,PeEtA,AceAc,EtHex,2PnAc,5OdMx,BeZal,bCitr,1HxOl,Frnsl,WatBl,Cdvrn,Sprmn,Acoin,MtAct,AcAcd,PrpnA,BtrAc,Amnia,Pyrdn,PAcHd,HCL36,PAcAc,Vingr,Geosn,VinGe,PEtAm,ClrBL,ClrB2,FlyFM,EtAmn,Ptscn,Lnlol,23BTD,Sprdn,CO21P
LHPV4a4,0.1553398058252427,0.009708737864077669,0.13592233009708737,0.038834951456310676,-0.0048543689320388345,0.08737864077669903,0.11650485436893204,-0.0048543689320388345,0.038834951456310676,0.04854368932038835,0.019417475728155338,0.04854368932038835,0.019417475728155338,0.0970873786407767,0.024271844660194174,0.038834951456310676,0.07281553398058252,0.15048543689320387,0.009708737864077669,0.0970873786407767,0.07281553398058252,0.16990291262135923,0.14563106796116504,0.08737864077669903,0.10194174757281553,-0.03398058252427184,0.11165048543689321,1.0,0.04854368932038835,0.0970873786407767,0.0825242718446602,0.10679611650485436,-0.014563106796116505,-0.019417475728155338,0.13592233009708737,0.2087378640776699,0.009708737864077669,0.1553398058252427,0.1553398058252427,0.587378640776699,0.06310679611650485,0.04854368932038835,0.13106796116504854,,
LHPV4a4,0.2972972972972973,0.1891891891891892,-0.05405405405405406,-0.02702702702702703,0.24324324324324326,-0.013513513513513514,0.28378378378378377,0.14864864864864866,0.2702702702702703,-0.0945945945945946,0.21621621621621623,0.013513513513513514,0.1891891891891892,0.13513513513513514,0.0945945945945946,0.06756756756756757,0.17567567567567569,0.35135135135135137,0.22972972972972974,0.3783783783783784,0.04054054054054054,0.16216216216216217,0.0945945945945946,0.3108108108108108,0.05405405405405406,-0.04054054054054054,0.22972972972972974,0.8783783783783784,0.05405405405405406,0.0,0.32432432432432434,-0.05405405405405406,-0.02702702702702703,0.04054054054054054,-0.06756756756756757,0.17567567567567569,0.17567567567567569,0.28378378378378377,0.24324324324324326,1.0,0.2972972972972973,0.5135135135135135,0.13513513513513514,0.013513513513513514,
LHPV4a4,0.03333333333333333,0.21666666666666667,-0.03333333333333333,0.06666666666666667,0.1,0.26666666666666666,0.18333333333333332,0.1,0.06666666666666667,0.3333333333333333,-0.2833333333333333,0.36666666666666664,0.0,0.2833333333333333,0.03333333333333333,0.05,-0.016666666666666666,0.13333333333333333,0.06666666666666667,-0.016666666666666666,-0.15,0.26666666666666666,0.3333333333333333,0.06666666666666667,-0.03333333333333333,0.03333333333333333,0.4166666666666667,0.9,0.1,0.1,0.5,0.1,0.0,0.43333333333333335,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.5,0.7833333333333333,1.0,0.0,0.5,-0.05,
"LHPV4a2, LHPV4a3",0.2601626016260163,0.7804878048780488,0.056910569105691054,0.15447154471544716,0.21138211382113822,0.11382113821138211,-0.14634146341463414,-0.06504065040650407,0.24390243902439024,0.08130081300813008,0.13008130081300814,0.34146341463414637,0.13821138211382114,0.17886178861788618,0.3821138211382114,0.2682926829268293,0.24390243902439024,1.0,0.17886178861788618,0.04878048780487805,0.16260162601626016,0.032520325203252036,0.11382113821138211,-0.04878048780487805,0.016260162601626018,0.22764227642276422,0.056910569105691054,0.024390243902439025,0.07317073170731707,-0.024390243902439025,0.24390243902439024,0.13821138211382114,0.13821138211382114,0.10569105691056911,0.15447154471544716,0.0975609756097561,-0.04065040650406504,0.08943089430894309,0.2032520325203252,0.4959349593495935,0.13821138211382114,0.13008130081300814,0.04065040650406504,0.14634146341463414,
"LHPV4a2, LHPV4a3",0.015625,0.515625,0.0625,0.046875,0.4296875,-0.1015625,0.328125,0.0859375,0.09375,0.265625,0.1328125,0.0234375,0.09375,0.1796875,0.1640625,0.21875,0.1015625,1.0,0.140625,0.109375,0.171875,0.125,0.1484375,0.140625,0.15625,0.15625,0.078125,-0.015625,0.0390625,0.0078125,0.03125,-0.015625,0.09375,0.15625,0.171875,0.09375,0.15625,0.03125,0.078125,0.09375,0.15625,0.15625,0.0234375,0.3203125,
LHPV4a5,0.048484848484848485,0.4,0.11515151515151516,0.2909090909090909,0.6545454545454545,0.6121212121212121,0.06666666666666667,0.11515151515151516,0.30303030303030304,0.5454545454545454,0.16363636363636364,0.6242424242424243,0.21212121212121213,0.12727272727272726,0.28484848484848485,0.11515151515151516,0.16363636363636364,1.0,0.14545454545454545,0.006060606060606061,0.1696969696969697,0.3212121212121212,0.024242424242424242,0.10909090909090909,0.08484848484848485,0.06666666666666667,-0.048484848484848485,0.04242424242424243,0.2909090909090909,0.11515151515151516,0.07878787878787878,0.030303030303030304,0.0,0.03636363636363636,-0.06060606060606061,0.2545454545454545,0.12727272727272726,0.16363636363636364,0.22424242424242424,0.4,0.21212121212121213,0.2727272727272727,0.006060606060606061,-0.012121212121212121,
LHPV4a7,0.16346153846153846,0.6153846153846154,0.17307692307692307,0.18269230769230768,0.07692307692307693,0.057692307692307696,0.09615384615384616,0.23076923076923078,-0.038461538461538464,0.057692307692307696,0.21153846153846154,0.019230769230769232,-0.028846153846153848,-0.057692307692307696,0.14423076923076922,0.04807692307692308,0.07692307692307693,1.0,0.19230769230769232,0.25,0.38461538461538464,0.057692307692307696,0.28846153846153844,0.17307692307692307,0.5769230769230769,0.7307692307692307,0.19230769230769232,0.038461538461538464,0.34615384615384615,0.11538461538461539,-0.028846153846153848,0.07692307692307693,0.019230769230769232,0.038461538461538464,0.17307692307692307,0.17307692307692307,0.25961538461538464,0.08653846153846154,0.028846153846153848,0.09615384615384616,0.4423076923076923,0.1346153846153846,0.09615384615384616,0.25,
LHPV4a7,0.14,0.38,-0.09,0.29,0.34,0.02,0.3,0.34,0.16,-0.07,0.0,0.0,0.02,-0.01,-0.04,0.38,0.19,1.0,0.18,0.16,0.27,0.25,0.26,0.02,-0.1,0.82,0.32,0.2,0.11,0.13,0.18,0.26,-0.01,0.32,0.15,0.26,0.19,0.27,0.03,0.27,0.16,-0.06,0.31,0.48,0.89
LHPV4a7,0.26605504587155965,0.009174311926605505,0.05504587155963303,0.13761467889908258,0.1559633027522936,0.08256880733944955,-0.009174311926605505,-0.06422018348623854,0.11926605504587157,0.1834862385321101,0.3486238532110092,0.045871559633027525,0.12844036697247707,0.01834862385321101,0.14678899082568808,0.1651376146788991,0.21100917431192662,1.0,0.25688073394495414,0.1651376146788991,0.11009174311926606,0.13761467889908258,-0.01834862385321101,0.3302752293577982,0.027522935779816515,0.6330275229357798,0.1743119266055046,0.08256880733944955,-0.03669724770642202,0.13761467889908258,0.1559633027522936,0.06422018348623854,0.22935779816513763,-0.1834862385321101,0.2018348623853211,0.30275229357798167,0.08256880733944955,0.08256880733944955,0.08256880733944955,0.12844036697247707,0.14678899082568808,0.09174311926605505,-0.045871559633027525,0.03669724770642202,0.22935779816513763
LHPV4a7,0.034782608695652174,0.5826086956521739,0.043478260869565216,0.06086956521739131,0.06956521739130435,0.0,0.22608695652173913,0.09565217391304348,0.1565217391304348,0.008695652173913044,-0.02608695652173913,-0.19130434782608696,0.06956521739130435,0.11304347826086956,-0.05217391304347826,0.3391304347826087,0.008695652173913044,0.4434782608695652,-0.14782608695652175,0.25217391304347825,0.08695652173913043,0.0,-0.08695652173913043,0.2608695652173913,0.2,1.0,0.20869565217391303,0.2608695652173913,0.2,-0.043478260869565216,0.034782608695652174,0.20869565217391303,0.09565217391304348,0.21739130434782608,0.25217391304347825,-0.017391304347826087,0.3217391304347826,0.16521739130434782,0.26956521739130435,-0.1826086956521739,0.4260869565217391,0.08695652173913043,0.1565217391304348,0.17391304347826086,0.7130434782608696
