glomerulus,OilBl,E2Hex,GerAc,Prpyl,IPenA,Et3HB,Nonnl,CiVAc,MetSl,HexAc,PeEtA,AceAc,EtHex,2PnAc,5OdMx,BeZal,bCitr,1HxOl,Frnsl,WatBl,Cdvrn,Sprmn,Acoin,MtAct,AcAcd,PrpnA,BtrAc,Amnia,Pyrdn,PAcHd,HCL36,PAcAc,Vingr,Geosn,VinGe,PEtAm,ClrBL,ClrB2,FlyFM,EtAmn,Ptscn,Lnlol,23BTD,Sprdn,CO21P
D,0.17173839866492194,0.17831304166429615,0.3056811932259961,0.1559495363258804,0.17666078777189886,0.11275151239308946,0.6479490242931103,0.1933540042859039,0.221786046158806,0.31517868995467563,0.008369128216798477,0.03050150765204529,0.11397233126623807,0.15344152396123723,0.104031546907891,-0.04707738332290304,0.25309116079725397,0.43871252204585537,0.12126287193491496,0.13060154368398094,0.2506329293963703,0.23113538525724905,0.10534363088126529,0.21586211147143045,0.10820129525326656,0.3076345034230339,0.1074984354554247,0.06297528967779864,0.247435095105346,0.2828298344427377,0.21309666040848835,0.23619502759287708,0.16489161973032943,0.284115605620982,0.1821869488536155,0.32452636968766,0.17938499175058314,0.26575638618649366,0.05559822495306366,-0.2979888490641179,0.07859987483643396,0.46455026455026455,0.12288217557034761,0.2051800648574842,0.21664675428116287
DA1,0.18041666666666667,0.145,0.05333333333333333,0.21708333333333335,0.1625,0.13166666666666665,0.06416666666666666,0.016666666666666666,-0.04708333333333334,0.16458333333333333,-0.23791666666666664,0.15125000000000002,0.21416666666666667,-0.010833333333333332,0.2975,0.6,0.034166666666666665,0.4,0.17833333333333332,0.22000000000000003,0.21333333333333332,0.10833333333333332,0.24750000000000005,0.09583333333333334,0.16916666666666666,0.385,0.23166666666666663,0.35583333333333333,0.027500000000000004,0.06416666666666666,0.24208333333333334,0.19,0.20916666666666667,0.04916666666666667,0.12583333333333332,0.0625,0.17083333333333334,0.12833333333333333,0.14833333333333334,0.20750000000000002,0.1983333333333333,0.11499999999999999,0.1625,0.12916666666666665,0.07777777777777778
DC1,0.07784431137724551,0.011976047904191617,0.023952095808383235,1.0,0.023952095808383235,0.011976047904191617,0.011976047904191617,-0.03592814371257485,0.017964071856287425,0.017964071856287425,-0.059880239520958084,-0.005988023952095809,0.023952095808383235,-0.0658682634730539,-0.04790419161676647,-0.04790419161676647,0.041916167664670656,-0.07784431137724551,0.03592814371257485,0.1317365269461078,0.0718562874251497,0.059880239520958084,0.08982035928143713,0.47305389221556887,0.0718562874251497,0.0,0.0658682634730539,0.10778443113772455,0.19161676646706588,-0.05389221556886228,-0.023952095808383235,0.07784431137724551,0.023952095808383235,0.0718562874251497,0.04790419161676647,0.03592814371257485,0.05389221556886228,0.08383233532934131,-0.03592814371257485,0.005988023952095809,0.011976047904191617,0.10179640718562874,0.0658682634730539,0.03592814371257485,0.10778443113772455
DC2,0.02510218677892784,0.3262204654237198,0.020059244718180342,0.057535894900870695,0.036897159584936404,0.7620541506393285,0.02232943298022587,0.014724865560273708,0.026912350436317446,0.27908996425609617,0.025820526538608026,0.07207623443424369,0.03868590630263551,0.017417231099904652,0.05008546693846486,0.022406547488112407,0.013740730034760652,0.9540102630942523,0.018603639379436057,0.024092216919722832,0.029723329612765494,0.015796661365786818,0.030850289735211724,0.0705447962469615,0.01973302698611989,0.02391621577568065,0.030024291523196526,0.03861341030720671,0.019878393874035442,0.011161670443906601,0.017902724540431576,0.032766126872817734,0.01372543313140584,0.013240251793893196,0.025255778768138858,0.027643819232053342,0.028066363018254062,0.02421483762886471,0.01904668874653698,0.05610328057562107,0.013561079755539914,0.041945243727189746,0.04847274679445401,0.055838439250394514,0.05316402697447795
DC3,-0.017857142857142856,0.15357142857142858,0.2119047619047619,0.25396825396825395,0.6126984126984127,0.3547619047619048,0.0,0.2365079365079365,0.319047619047619,0.011111111111111112,-0.05357142857142857,0.05793650793650794,0.278968253968254,0.278968253968254,0.040079365079365076,0.7946428571428572,0.06468253968253967,0.8214285714285714,0.017857142857142856,0.013293650793650795,0.022222222222222223,0.03571428571428571,0.2611111111111111,0.32460317460317456,0.07142857142857142,0.02896825396825397,0.044642857142857144,0.5444444444444444,0.11825396825396825,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,-0.13333333333333333,0.022222222222222223,-0.022222222222222223,0.044444444444444446,0.37777777777777777,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.08888888888888889,
DL1,0.019482353723673976,0.033789480431992765,0.04077484860801291,0.03195976074388345,0.45903914946130003,0.031100416902522104,0.05279560331766969,-0.006519722584199129,1.0,0.13111841572635682,0.14495615370766546,0.10892542029892617,0.061045751491021726,0.0506533034805216,0.08553738552920692,0.014289653586248754,0.046459255178041864,0.05198703936789799,0.05180000181127375,0.05804379325627481,0.05726557566847934,0.04214799260569997,-0.07404056823288152,0.03788849955796003,0.03362703765146699,0.03483656989775343,0.023370387659047982,0.08757583864696813,0.02825740035596446,0.04940092974939664,0.031471774984792665,0.054885670746508575,0.05773296439938615,0.04606532157709528,0.09021051102368231,0.21289851518479783,0.04829265355456066,0.051824922010431984,0.06628895844625039,0.09585128869499954,0.09574823627229903,0.045461347204039035,0.20281173555332646,0.19399496658547066,0.10893405252629385
DL2d,0.004273504273504274,0.5,0.05128205128205128,0.017094017094017096,0.01282051282051282,0.01282051282051282,0.09829059829059829,0.017094017094017096,0.004273504273504274,0.0,0.004273504273504274,0.0,0.004273504273504274,0.004273504273504274,0.008547008547008548,0.09829059829059829,0.004273504273504274,0.0,0.01282051282051282,0.004273504273504274,0.01282051282051282,0.004273504273504274,0.2777777777777778,0.23076923076923078,0.21367521367521367,0.22008547008547008,0.3482905982905983,0.09829059829059829,0.23504273504273504,0.021367521367521368,0.038461538461538464,0.029914529914529916,0.02564102564102564,0.017094017094017096,0.04700854700854701,0.01282051282051282,0.008547008547008548,0.05982905982905983,0.021367521367521368,0.5384615384615384,0.038461538461538464,0.02564102564102564,-0.4700854700854701,0.021367521367521368,0.017094017094017096
DL4,0.0,0.25,0.125,0.1875,0.375,-0.1875,0.0,-0.25,0.25,0.5,0.0625,0.0,0.25,-0.125,0.125,0.1875,0.125,0.25,0.25,0.5,-0.125,0.25,0.125,0.25,0.625,0.375,0.0,0.125,0.5625,0.125,0.25,0.125,1.0,0.125,0.125,0.375,0.375,0.25,0.125,0.5625,0.25,0.75,0.125,0.5,
DL5,0.05077166763620301,1.0,0.08541718472093553,0.11307345628161355,0.11038447348228993,0.1474717420892592,0.3162783460420228,0.20739583975332762,0.05299592849478663,0.1638645123286413,0.06712038185927674,0.03744108901616261,0.03247106778877026,0.03583562307542225,0.08800737189221375,0.06959553646400714,0.07196799906194995,0.050777047284206324,0.05570860306429339,0.02462222158401579,0.045915568088030975,0.04451552036581295,0.05618082260115891,0.07557781584805252,0.06034677276029137,0.0511706798212392,0.03006553430841189,0.06539003396004367,0.05565084874956794,0.19006326677971971,0.047404153610172986,0.056127030506746445,0.05672829350897214,0.04998043927428494,0.05315116855494617,0.16245692677574883,0.013008718637548461,0.05973388379218688,0.13609278081068604,0.0822973466279983,0.1046967824860106,0.17280585990326128,0.31414268081869784,0.14115386036308614,0.017574074074074075
DM2,-0.008504241825220327,0.3532839596633323,0.3808154968192255,0.45362953350479823,0.9209088247731191,0.028055452360856926,0.01791478990225132,0.01685668757762191,0.06624129526561744,0.10927020328689857,0.08817259403700134,0.05115546676055957,0.9166666666666666,0.03677031599262933,0.37012181539733385,0.14982866826718313,-0.01176533696730849,-0.007403197190517196,0.01943355906816994,0.050466535148114354,0.08326537700875376,0.04350193920434129,-0.014524582498978039,-0.010504839878920758,0.0210476287760462,0.037669584080662684,0.019685648974815357,0.04345899689426757,0.03055290673310693,0.01670990857425253,0.09093155423770694,0.07122559920929084,0.10106251544353842,0.10551025450951322,0.0826538176426983,0.47692735359525573,0.03786755621447986,0.017142327650111193,0.1019582406721028,0.08836792685940202,0.12101556708673092,0.07558067704472449,0.2690573264146281,0.07070051890289103,-0.02112676056338028
