bodyId,cell_type,side,idx
200326126,CL141,left,0
202916528,FS4C,right,1
203253072,FS4A,right,2
203253253,SMP505,left,3
203257652,FS4C,right,4
203594169,FS4A,right,5
203594175,FS4A,right,6
203598499,FB8H,left,7
203598504,FS4A,right,8
203598542,FS4B,right,9
203598557,FS4B,right,10
203836007,PI2,noside,11
203931040,FS4A,right,12
204613133,FB8E,left,13
204962646,FB7L,left,14
205299889,FB8F_b,left,15
206555682,PI1_c,noside,16
232513628,OCG01,noside,17
232513671,OCG01,noside,18
233105330,SLP444,right,19
233877926,OCG01,noside,20
234292899,FB7M,left,21
234630133,SMP184,left,22
235985275,FB8E,left,23
236330337,FB7I,left,24
236331138,FB7G,left,25
262167456,OCG01,noside,26
262504004,OCG01,noside,27
262517074,OCG01,noside,28
262840563,OCG01,noside,29
263199096,OCG01,noside,30
263475451,SMP535,right,31
263522664,OCG01,noside,32
263674097,LHPD2a5_a,right,33
264014957,LHPD2a5_a,right,34
264083994,DN1a,right,35
264438143,SLP418,right,36
264779403,LHPV5a3,right,37
264783939,LHPV5a3,right,38
264822904,SLP414,right,39
264986706,FS4B,right,40
265120223,LHPV5a3,right,41
265120324,LHPV5a3,right,42
265120424,SLP414,right,43
265120467,SLP414,right,44
265120589,SLP414,right,45
265120597,FB1D,right,46
265120677,FB8A,right,47
265124786,SLP075,right,48
265155147,SMP500,right,49
265655867,FB8F_b,left,50
265669024,SMP166,left,51
266187342,SMP347,right,52
266187383,SMP347,right,53
266187477,SMP349,right,54
266187480,SMP349,right,55
266187532,SMP352,right,56
266187559,SLP399,right,57
266191395,SMP034,right,58
266191407,SMP481,right,59
266200011,SMP187,right,60
266276935,PI2,noside,61
266527996,SMP351,right,62
266528044,SMP351,right,63
266528078,SMP352,right,64
266528086,SMP352,right,65
266536576,FB7G,right,66
266847236,SLP413,right,67
266873389,SLP340,right,68
266873401,SMP025,right,69
266873591,SMP350,right,70
267214250,pC1b,right,71
267223027,SLP259,right,72
267223104,SMP025,right,73
267227062,SLP424,right,74
267304783,PI1_a,noside,75
267551639,pC1c,right,76
267559575,SIP079,right,77
267559665,SIP083,right,78
267564140,SLP428,right,79
267572587,SLP426,right,80
267896359,SLP421,right,81
267896360,SMP347,right,82
267900632,SIP085,right,83
268237554,SLP423,right,84
268725517,PAM09,left,85
268731005,SMP146,left,86
270322941,PI1_c,noside,87
294161385,CRZ01,right,88
294424196,SLP315,right,89
294428266,SLP363,right,90
294432626,LHPD3b2,right,91
294432760,SLP351,right,92
294436967,PPL203,right,93
294437328,SLP055,right,94
294437347,SLP001,right,95
294441510,SLP351,right,96
294445804,SLP210,right,97
294445931,LHPV6a2_b,right,98
294450004,SIP015,right,99
294450495,SA1_a,right,100
294756576,LHPV6a4_b,right,101
294760680,LHPV6a4_a,right,102
294760699,SLP373,right,103
294760723,SLP063,right,104
294760837,LHPV6i2_a,right,105
294773987,SLP271,right,106
294774719,LHPV6a6_a,right,107
294774792,SLP252,right,108
294778999,SLP352,right,109
294782432,SLP203,right,110
294782488,LHPV6a9_b,right,111
294783216,SLP403,right,112
294783423,SLP302,right,113
294786630,LHPD4e1_b,right,114
294786785,SLP300,right,115
294787849,LHPV5e2,right,116
294791509,FB1D,right,117
294791642,SLP416,right,118
294792184,M_vPNml53,right,119
294792311,SLP302,right,120
294792344,SMP166,right,121
294795822,SLP416,right,122
294799968,SLP418,right,123
294800293,FB7K,right,124
295063181,DNES2,right,125
295103172,SLP458,right,126
295106899,SLP143,right,127
295107514,LHPV6i3,right,128
295111672,LHPV6b1,right,129
295111734,SLP252,right,130
295115222,SLP303,right,131
295115429,SLP053,right,132
295115628,SLP053,right,133
295115794,LHPD4e1_a,right,134
295116165,SLP300,right,135
295116205,SA1_a,right,136
295119694,SLP301,right,137
295120601,SLP352,right,138
295120620,SLP300,right,139
295124412,SLP092,right,140
