bodyId,cell_type,side,instance,idx,top_nt,sign
200326126,CL141,left,CL141_L,0,glutamate,-1
202916528,FS4C,right,FS4C(FQ12)_C4_R,1,acetylcholine,1
203253072,FS4A,right,FS4A(AB)(FQ12)_C3_R,2,acetylcholine,1
203253253,SMP505,left,SMP505(PDM22)_L,3,acetylcholine,1
203257652,FS4C,right,FS4C(FQ12)_C6_R,4,acetylcholine,1
203594169,FS4A,right,FS4A(AB)(FQ12)_C4_R,5,acetylcholine,1
203594175,FS4A,right,FS4A(AB)(FQ12)_C4_R,6,acetylcholine,1
203598499,FB8H,left,FB8H_L,7,glutamate,-1
203598504,FS4A,right,FS4A(FQ12)_C5_R,8,acetylcholine,1
203598542,FS4B,right,FS4B(FQ12)_C4_R,9,acetylcholine,1
203598557,FS4B,right,FS4B(FQ12)_C8_R,10,acetylcholine,1
203836007,PI2,noside,PI2,11,,1
203931040,FS4A,right,FS4A(AB)(FQ12)_C3_R,12,acetylcholine,1
204613133,FB8E,left,FB8E_L,13,glutamate,-1
204962646,FB7L,left,FB7L_L,14,glutamate,-1
205299889,FB8F_b,left,FB8F_b_L,15,glutamate,-1
206555682,PI1_c,noside,PI1_c,16,acetylcholine,1
232513628,OCG01,noside,OCG01,17,glutamate,-1
232513671,OCG01,noside,OCG01,18,glutamate,-1
233105330,SLP444,right,SLP444_R,19,acetylcholine,1
233877926,OCG01,noside,OCG01,20,glutamate,-1
234292899,FB7M,left,FB7M_L,21,glutamate,-1
234630133,SMP184,left,SMP184(PDL05)_L,22,acetylcholine,1
235985275,FB8E,left,FB8E_L,23,glutamate,-1
236330337,FB7I,left,FB7I_L,24,glutamate,-1
236331138,FB7G,left,FB7G_L,25,glutamate,-1
262167456,OCG01,noside,OCG01,26,glutamate,-1
262504004,OCG01,noside,OCG01,27,glutamate,-1
262517074,OCG01,noside,OCG01,28,glutamate,-1
262840563,OCG01,noside,OCG01,29,glutamate,-1
263199096,OCG01,noside,OCG01,30,glutamate,-1
263475451,SMP535,right,SMP535_R,31,glutamate,-1
263522664,OCG01,noside,OCG01,32,glutamate,-1
263674097,LHPD2a5_a,right,LHPD2a5_a_R,33,glutamate,-1
264014957,LHPD2a5_a,right,LHPD2a5_a_R,34,glutamate,-1
264083994,DN1a,right,DN1a_R,35,glutamate,-1
264438143,SLP418,right,SLP418_R,36,glutamate,-1
264779403,LHPV5a3,right,LHPV5a3_R,37,acetylcholine,1
264783939,LHPV5a3,right,LHPV5a3_R,38,acetylcholine,1
264822904,SLP414,right,SLP414_R,39,glutamate,-1
264986706,FS4B,right,FS4B(AB)(FQ12)_C3_R,40,acetylcholine,1
265120223,LHPV5a3,right,LHPV5a3_R,41,acetylcholine,1
265120324,LHPV5a3,right,LHPV5a3_R,42,acetylcholine,1
265120424,SLP414,right,SLP414_R,43,glutamate,-1
265120467,SLP414,right,SLP414_R,44,glutamate,-1
265120589,SLP414,right,SLP414_R,45,glutamate,-1
265120597,FB1D,right,FB1D_R,46,glutamate,-1
265120677,FB8A,right,FB8A_R,47,glutamate,-1
265124786,SLP075,right,SLP075_R,48,glutamate,-1
265155147,SMP500,right,SMP500_R,49,glutamate,-1
265655867,FB8F_b,left,FB8F_b_L,50,glutamate,-1
265669024,SMP166,left,SMP166(AVM07)_L,51,gaba,-1
266187342,SMP347,right,SMP347_R,52,dopamine,1
266187383,SMP347,right,SMP347_R,53,dopamine,1
266187477,SMP349,right,SMP349_R,54,dopamine,1
266187480,SMP349,right,SMP349_R,55,dopamine,1
266187532,SMP352,right,SMP352_R,56,acetylcholine,1
266187559,SLP399,right,SLP399_R,57,dopamine,1
266191395,SMP034,right,SMP034_R,58,glutamate,-1
266191407,SMP481,right,SMP481_R,59,acetylcholine,1
266200011,SMP187,right,SMP187_R,60,acetylcholine,1
266276935,PI2,noside,PI2,61,,1
266527996,SMP351,right,SMP351_R,62,dopamine,1
266528044,SMP351,right,SMP351_R,63,dopamine,1
266528078,SMP352,right,SMP352_R,64,acetylcholine,1
266528086,SMP352,right,SMP352_R,65,acetylcholine,1
266536576,FB7G,right,FB7G_R,66,glutamate,-1
266847236,SLP413,right,SLP413_R,67,glutamate,-1
266873389,SLP340,right,SLP340_R,68,glutamate,-1
266873401,SMP025,right,SMP025_R,69,glutamate,-1
266873591,SMP350,right,SMP350_R,70,dopamine,1
267214250,pC1b,right,pC1b_R,71,glutamate,-1
267223027,SLP259,right,SLP259_R,72,glutamate,-1
267223104,SMP025,right,SMP025_R,73,glutamate,-1
267227062,SLP424,right,SLP424_R,74,acetylcholine,1
267304783,PI1_a,noside,PI1_a,75,serotonin,1
267551639,pC1c,right,pC1c_R,76,acetylcholine,1
267559575,SIP079,right,SIP079_R,77,acetylcholine,1
267559665,SIP083,right,SIP083_R,78,acetylcholine,1
267564140,SLP428,right,SLP428_R,79,acetylcholine,1
267572587,SLP426,right,SLP426_R,80,acetylcholine,1
267896359,SLP421,right,SLP421_R,81,dopamine,1
267896360,SMP347,right,SMP347_R,82,dopamine,1
267900632,SIP085,right,SIP085_R,83,neither,1
268237554,SLP423,right,SLP423_R,84,acetylcholine,1
268725517,PAM09,left,PAM09(B1ped)_L,85,dopamine,1
268731005,SMP146,left,SMP146(ADM10)_L,86,glutamate,-1
270322941,PI1_c,noside,PI1_c,87,acetylcholine,1
294161385,CRZ01,right,CRZ01_R,88,dopamine,1
