pre_root_id,post_root_id,syn_count
12055,11278,1
12055,29205,2
12055,19478,1
12055,519720,1
12055,11306,2
12055,519722,1
12055,10796,2
12055,15932,1
12055,55385,3
12055,20571,1
12055,13404,5
12055,15458,3
12055,13922,1
12055,174184,1
12055,22122,2
12055,47722,1
12055,31343,1
12055,100478,1
12055,34942,1
12055,13450,2
12055,19090,6
12055,13463,1
12055,10912,1
12055,14498,1
12055,18597,1
12055,13007,1
12055,47830,3
12055,12510,6
12055,522974,2
12055,56032,1
12055,41707,1
12055,11544,1
12055,21793,1
12055,30504,1
12055,54572,1
12055,15671,3
12055,521536,1
12055,28487,1
12055,512328,1
12055,555344,3
12055,10586,2
12055,524136,1
12055,15212,1
12055,12155,1
12055,59776,1
12055,10136,1
12055,532905,1
12055,13762,1
12055,14286,1
12055,11219,2
12055,515029,1
12055,526297,1
12055,10729,2
12055,559087,1
12055,37363,2
12055,56308,1
902775,928270,1
902775,802329,1
902775,804383,1
902775,812099,1
902775,800961,2
902775,800968,2
902775,909033,1
902775,801540,2
902775,902931,1
902775,801093,3
902775,805191,1
902775,803180,1
902775,801688,1
902775,907673,1
902775,904108,1
902775,905148,1
902775,804800,1
902775,905162,1
902775,809424,1
902775,801772,2
111791,54841,1
111791,107744,1
111791,135968,3
111791,546602,1
111791,131386,4
111791,105855,1
111791,164767,2
111791,126372,3
111791,132016,7
72266,30982,1
72266,50210,1
72266,35374,2
72266,69708,1
50183,15237,1
50183,11414,1
50183,11208,2
50183,75984,1
50183,515176,2
50183,135531,1
50183,17902,1
50183,17909,1
11686,11264,1
11686,44561,1
11686,63001,1
11686,10275,2
11686,24099,1
11686,43565,2
11686,543296,1
11686,17015,2
11686,200822,1
11686,75392,1
11686,536196,1
11686,120969,1
11686,72337,1
11686,12440,2
11686,12969,7
11686,542889,2
11686,15021,2
11686,85678,1
11686,60592,1
11686,83635,1
11686,530620,2
11686,11454,2
11686,40123,2
11686,40637,4
11686,90314,2
11686,30431,1
11686,29925,4
11686,71922,5
11686,167668,2
11686,22260,1
11686,81145,1
11686,546051,1
11686,550155,3
11686,533777,1
11686,531234,5
11686,97065,1
11686,542508,2
11686,516397,7
11686,536370,4
11686,16179,2
11686,535361,1
11686,524105,2
11686,41292,8
11686,142670,3
11686,10597,2
11686,10092,1
11686,539007,1
11686,89477,1
11686,516999,1
11686,19335,1
11686,12172,3
11686,512401,3
11686,532385,3
11686,27048,2
11686,575913,1
11686,148408,1
11686,11715,7
11686,82387,2
11686,541652,1
11686,67545,1
11686,523748,1
11686,42992,2
11686,176628,1
11686,520698,1
542261,72514,3
542261,540365,2
542261,542607,1
542261,149591,1
29254,10696,1
18219,52113,1
18219,26775,1
18219,908270912,2
18219,71497,1
18219,82004,1
18219,567407,1
18219,123253,1
60776,159281,1
65044,23910,5
807129,800704,1
807129,15207,1
107232,10208,1
107232,18534,1
107232,12653,1
530421,55433,4
530421,513674,1
530421,42764,2
530421,179853,1
530421,541976,1
530421,57760,1
530421,537648,4
530421,548675,4
530421,49989,1
530421,538962,1
530421,525654,3
530421,518614,1
530421,119517,1
530421,133597,1
530421,34531,10
530421,144501,1
530421,552447,1
806373,802497,1
806373,809547,1
806373,823893,2
806373,809963,1
58607,68524,1
58607,111577,1
30881,12326,1
30881,42561,1
30881,13899,1
30881,58021,1
30881,10432,2
30881,51411,2
30881,17698,1
30881,27435,1
30881,16687,2
30881,54603,1
30881,19827,1
30881,12215,1
30881,111545,1
30881,13300,2
57465,192781,1
57465,99351,1
57465,544164,1
57465,27433,4
57465,102089,6
57465,108504,4
57465,116969,3
10891,51230,1
10891,15908,1
10891,11299,1
10891,30777,1
10891,923203,1
10891,14922,1
10891,20042,1
10891,14925,1
10891,10832,1
10891,521815,1
10891,35930,2
10891,33905,1
10891,10887,1
10891,93323,1
10891,16527,1
10891,19612,1
10891,11960,1
10891,524990,2
10891,18654,1
10891,37608,1
10891,10997,1
10891,29430,1
10891,15620,1
10891,10508,1
10891,10510,1
10891,17724,1
10891,10045,1
10891,12094,1
10891,11077,1
10891,15188,1
10891,14171,1
10891,10104,1
10891,11157,1
10891,58773,1
10891,21929,1
10891,11183,1
10891,103857,1
10891,555966,1
10891,17352,1
10891,23509,1
47291,108564,1
47291,163878,2
47291,116791,1
47291,114771,2
47291,147546,1
47291,127067,1
47291,127068,2
47291,133220,2
47291,114794,2
47291,127147,2
47291,106671,3
47291,221374,4
47291,147652,1
47291,141538,2
47291,114925,2
47291,102643,3
47291,110838,2
47291,106751,2
47291,143641,1
47291,129317,4
47291,141617,3
47291,182586,2
47291,158013,1
47291,127296,1
47291,127304,2
47291,112987,2
47291,127331,1
47291,106858,3
47291,117105,4
47291,117128,3
47291,149903,2
47291,108953,1
47291,100763,1
47291,108961,1
47291,10679,1
47291,129475,1
47291,133578,1
47291,133580,1
47291,45531,2
47291,131549,3
47291,133604,2
47291,137711,1
47291,133616,4
47291,102911,1
47291,125452,3
47291,129571,1
47291,133668,3
47291,129580,9
47291,125484,1
47291,135740,2
47291,107073,4
47291,121432,4
47291,137820,3
47291,123485,5
47291,131687,7
