pre_root_id,post_root_id,syn_count
169864,580898,1
518323,580898,9
108778,580898,2
43634,580898,7
54222,580898,3
23847,580898,1
77502,580898,4
84848,580898,1
80738,580898,3
111645,580898,2
512876,580898,1
145753,580898,2
16342,580898,2
172855,580898,2
21051,580898,2
129816,580898,2
60993,580898,2
28354,580898,2
32285,580898,2
30627,580898,2
34014,580898,2
31151,580898,2
58611,580898,2
27023,580898,2
539898,580898,2
514671,580898,1
536392,580898,1
10958,580898,1
200946,580898,1
14077,580898,1
525696,580898,1
550337,580898,1
523964,580898,1
580152,580898,1
518572,580898,1
518573,580898,1
517895,580898,1
67256,580898,1
32901,580898,1
32351,580898,1
78874,580898,1
77011,580898,1
77929,580898,1
80316,580898,1
28969,580898,1
30949,580898,1
47684,580898,1
45446,580898,1
58201,580898,1
36340,580898,1
60145,580898,1
52126,580898,1
52354,580898,1
20208,580898,1
163701,580898,1
17824,580898,1
91161,580898,1
82590,580898,1
106504,580898,1
114616,580898,1
22595,580898,1
112859,580898,1
98317,580898,1
69064,168294,4
527475,168294,3
33552,168294,1
28213,14555,16
17130,14555,56
31632,14555,2
20583,14555,11
20258,14555,12
28924,14555,7
36613,14555,13
35752,14555,2
28817,14555,1
37302,14555,8
34573,14555,5
23291,14555,1
13148,14555,3
21599,14555,3
521987,14555,3
40548,14555,3
108160,14555,2
35527,14555,2
10925,14555,2
11532,14555,1
26340,14555,1
12215,14555,1
11839,14555,1
14610,14555,1
32653,14555,1
47060,14555,1
37051,14555,1
17445,14555,1
27658,14555,1
27328,14555,1
27233,14555,1
22864,14555,1
524581,221711,6
70776,221711,6
580083,221711,4
74025,221711,4
81525,221711,4
193354,221711,1
111156,221711,2
150663,221711,2
198733,221711,2
223999,221711,2
40828,221711,2
547926,221711,2
540436,221711,2
542010,221711,1
536287,221711,2
533699,221711,2
514173,221711,1
199594,221711,1
537185,221711,1
56672,221711,1
36993,221711,1
133536,221711,1
125413,221711,1
146383,221711,1
145549,221711,1
156879,221711,1
148668,221711,1
95389,221711,1
28137,221711,1
87462,221711,1
11255,171676,1
511846,171676,2
16303,171676,2
33293,171676,1
61553,171676,1
31786,171676,1
82772,171676,1
32530,80186,6
33186,80186,3
21483,80186,4
23503,80186,3
24117,80186,3
24178,80186,2
45007,80186,2
27026,80186,1
496514,80186,1
12439,80186,1
33527,80186,1
33480,80186,1
29125,80186,1
31521,80186,1
39808,80186,1
40500,80186,1
44897,80186,1
19928,80186,1
19233,80186,1
21352,80186,1
122013,80186,1
17302,80186,1
25074,80186,1
26957,80186,1
26825,80186,1
24253,80186,1
24918,80186,1
23471,80186,1
23757,80186,1
64941,44361,4
530637,44361,6
533464,44361,1
56289,44361,9
81857,44361,15
36816,44361,7
28283,44361,8
518561,44361,6
533563,44361,3
28328,44361,9
186978,44361,4
63776,44361,2
530729,44361,7
558339,44361,1
11973,44361,6
140236,44361,2
518658,44361,5
173260,44361,4
533467,44361,3
535130,44361,4
