,bodyid,flywire_type,group,instance,soma_side,status,superclass,type,user,halfbrain_body,itolee_hl,old_type,birthtime,manc_bodyid,manc_group,manc_type,soma_neuromere,truman_hl,class,entry_nerve,root_side,assigned_ol_hex1,assigned_ol_hex2,hemibrain_type,notes,dimorphism,hemibrain_bodyid,exit_nerve,manc_serial,mcns_serial,subclass,fru_dsx,synonyms,serial_motif,matching_notes,flywire_id,location_type,cell_body_fiber,auto,cell_type,side,idx
1,105715,L4,11062.0,L4_L,L,Primary Anchor,optic,L4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L4,left,21326.0
4,520505,L2,10350.0,L2_L,L,Prelim Roughly traced,optic,L2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L2,left,39527.0
5,122751,Dm3,15115.0,Dm3a_L,L,Primary Anchor,optic,Dm3a,takemuras,,,Dm3a-2,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm3a,left,25196.0
10,20450,LC14b,17399.0,LC14b_L,L,Roughly traced,optic,LC14b,,4745999180.0,VPNp1_lateral,,,,,,,,bilateral,,,,,,,,,,,,,,,,,,,,False,LC14b,left,1905.0
14,15369,LTe16,15369.0,LoVP107_L,L,Prelim Roughly traced,visual_projection,LoVP107,takemuras,,,LT102,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LoVP107,left,796.0
16,516054,L2,10350.0,L2_L,L,Prelim Roughly traced,optic,L2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L2,left,37944.0
26,69018,CB3849,39038.0,Dm16_L,L,Prelim Roughly traced,optic,Dm16,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm16,left,13104.0
44,529817,T2a,12245.0,T2a_L,L,Primary Anchor,optic,T2a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2a,left,41359.0
53,30141,Li19,14634.0,Li19_L,L,Primary Anchor,optic,Li19,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Li19,left,4214.0
55,81608,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,15901.0
65,11139,,11139.0,R1-R6_L,L,Primary Anchor,sensory,R1-R6,takemuras,,,,,,,,,,visual,,,,,,,,,,,,,,,,,,,,False,R1-R6,left,187.0
66,20079,L2,10350.0,L2_L,L,Prelim Roughly traced,optic,L2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L2,left,1823.0
69,532445,LC25,17692.0,LC25_L,L,Prelim Roughly traced,visual_projection,LC25,takemuras,,,,,,,,,,,,,,,LC25,,,,,,,,,,,,,,,False,LC25,left,42310.0
71,25248,,15963.0,Tm38_L,L,Primary Anchor,optic,Tm38,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm38,left,3035.0
79,141684,Mi13,17948.0,Mi13_L,L,Prelim Roughly traced,optic,Mi13,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi13,left,29008.0
82,81516,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,15880.0
83,136282,C2,15627.0,C2_L,L,Prelim Roughly traced,optic,C2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C2,left,28010.0
84,19438,,16342.0,Tm39_L,L,Primary Anchor,optic,Tm39,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm39,left,1668.0
88,512812,TmY3,15710.0,TmY3_L,L,Prelim Roughly traced,optic,TmY3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY3,left,36941.0
89,107828,T5c,26518.0,T5c_L,L,Primary Anchor,optic,T5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5c,left,21794.0
94,77230,T2a,12245.0,T2a_L,L,Primary Anchor,optic,T2a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2a,left,14940.0
99,92530,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,18281.0
102,121502,Mi10,19137.0,Mi10_L,L,Prelim Roughly traced,optic,Mi10,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi10,left,24940.0
105,523599,,10893.0,LPi2b_L,L,Primary Anchor,optic,LPi2b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LPi2b,left,39923.0
111,48699,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,8478.0
113,160198,T4c,16122.0,T4c_L,L,Primary Anchor,optic,T4c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4c,left,31780.0
115,516405,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,38038.0
119,79491,T5a,46342.0,T5a_L,L,Primary Anchor,optic,T5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5a,left,15436.0
129,44901,Tm5c,18223.0,Tm5c_L,L,Primary Anchor,optic,Tm5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5c,left,7621.0
130,47703,,13703.0,Y12_L,L,Prelim Roughly traced,optic,Y12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Y12,left,8260.0
132,82988,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,16225.0
142,151842,T4a,13882.0,T4a_L,L,Primary Anchor,optic,T4a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4a,left,30672.0
152,519809,,16753.0,Tm37_L,L,Primary Anchor,optic,Tm37,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm37,left,39340.0
155,549155,TmY5a,12709.0,TmY5a_L,L,Prelim Roughly traced,optic,TmY5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY5a,left,46718.0
156,171147,T3,13918.0,T3_L,L,Primary Anchor,optic,T3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T3,left,33005.0
162,71551,Dm21,21718.0,Cm3_L,L,Primary Anchor,optic,Cm3,takemuras,,,Mi22,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm3,left,13660.0
170,50579,Tm2,10851.0,Tm2_L,L,Primary Anchor,optic,Tm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm2,left,8904.0
177,163612,L3,10694.0,L3_L,L,Prelim Roughly traced,optic,L3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L3,left,32207.0
180,134433,Tm9,16250.0,Tm9_L,L,Primary Anchor,optic,Tm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm9,left,27677.0
181,147234,T5a,46342.0,T5a_L,L,Primary Anchor,optic,T5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5a,left,29955.0
185,29372,cLP02,13333.0,LPT111_L,L,Prelim Roughly traced,visual_centrifugal,LPT111,takemuras,,no_lineage,,,,,,,,,,,,,LT71,,,,,,,,,,,,,,,False,LPT111,left,4025.0
188,52008,,15043.0,TmY21_L,L,Primary Anchor,optic,TmY21,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY21,left,9206.0
190,16115,LC21,16115.0,LC21_L,L,Prelim Roughly traced,visual_projection,LC21,takemuras,,VPNp3,,,,,,,,,,,,,LC21,,,,,,,,,,,,,,,False,LC21,left,945.0
196,41335,Lawf1,12117.0,Lawf1_L,L,Prelim Roughly traced,optic,Lawf1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Lawf1,left,6727.0
198,69678,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,13257.0
