idx,hitting_time,cell_group
0,2.007554459162925,CT1
1,2.999600907354699,VS
2,2.9946137986700094,HSN
3,2.9966089597461574,HSE
4,2.9748924257621434,HSS
5,2.9965169182228397,H2
6,2.954663873670511,VCH
7,2.3918904808106474,LoVC16
8,2.9998248444607185,VS
9,3.9676726834460303,vCal2
10,2.069950610169554,MeVC11
11,2.3143084302438344,5-HTPMPV03
12,2.19530350464237,Li39
13,2.65265057248632,LoVC14
14,2.388306031798513,LoVC16
15,2.2389120337931914,MeVPOL1
16,2.944777718974531,DCH
17,2.080535587441988,DNp27
18,2.996755497654715,LPi21
19,2.871169375044948,MeVPLp1
20,2.041555647005226,DNp30
21,2.0679507564777415,OA-AL2i1
22,3.0153843828751605,dCal1
23,1.915009805469468,MeVC1
24,2.793702702704382,Am1
25,2.278990987766309,LoVCLo3
26,2.0080202269940086,MeVC25
27,2.14501572567926,DNp11
28,1.9178715111880376,MeVCMe1
29,2.9999740854674375,VS
30,2.592432405798784,Cm34
31,1.887464130664015,MeVPLp1
32,2.0040630276612603,MeVPMe1
33,2.1926379902365154,DNp30
34,1.9082122593775948,AN27X013
35,2.000322568964165,MeVPMe2
36,1.9498770814641782,MeVPMe2
37,2.559119280577685,LoVC6
38,2.0044241228105224,MeVPMe2
39,2.007671535647339,MeVPMe2
40,2.999940958353519,VS
41,2.9584771399600784,LPT50
42,1.884400348870702,MeVCMe1
43,2.876287580696288,LT1b
44,2.170642021772073,LT79
45,1.924217893428001,MeVCMe1
46,2.011068255327462,MeVPMe2
47,3.137669488173292,MeVC11
48,2.5609428799293896,LT87
49,2.0525049730764002,OA-AL2i2
50,1.9030172582718117,MeVPMe2
51,2.1025913333077253,MeVPMe13
52,2.255493075780856,5-HTPMPV03
53,2.9988755019893985,VS
54,2.0719636723896815,DNpe053
55,2.7833402561529805,LoVC3
56,2.071834403290374,MeVPMe13
57,2.0020691175173266,Li38
58,2.1024779964710962,aMe17e
59,2.989007022907237,LPi12
60,2.9997167772044775,VS
61,2.0139906655015145,MeVPMe2
62,2.44929310343179,MeVC4b
63,2.954220099588385,LPT59
64,2.0679049115291197,OA-AL2i2
65,3.4586319729004686,LPT57
66,2.006382686164762,MeVPOL1
67,2.4967591857758924,LoVP102
68,2.008111301433302,LT34
69,2.131380702171433,MeVPMe1
70,2.0039929506101273,MeVPMe1
71,2.8642790448880726,Li33
72,2.8798022336572884,Li32
73,1.9680596632249117,MeVPMe12
74,2.00350139058181,MeVPMe1
75,2.95770390200359,LT1d
76,2.62735635865237,LT83
77,2.995775425180523,VS
78,2.7193336364874594,LT36
79,1.9657111916014987,MeVCMe1
80,2.2754981199062443,LoVCLo3
81,2.985574853297238,LPi12
82,2.8899108251520103,LT1a
83,2.7115314635902545,dCal1
84,1.592552433533329,MeVPMe12
85,1.1862433924588456,MeVPMe12
86,2.736093393846205,mALD1
87,2.4142119303017737,LT11
88,2.8497817978528186,LoVC12
89,2.0195236196628144,MeVP53
90,2.982323645189168,LPT50
91,2.980679899600019,LPi4b
92,2.0131345687556146,aMe_TBD1
93,2.112103101499402,Cm31b
94,2.090959144869271,Pm12
95,2.109755074314001,MeVC26
96,2.132757995701703,MeVPMe1
97,2.107570809732316,MeVPMe1
98,2.859424606539019,LoVC25
99,2.9180477807693608,LPT60
100,2.081544558175474,Pm12
101,2.9660017120091444,LPT57
102,2.516719260337883,LT39
103,2.5123265413834623,LT66
104,2.3280212739591004,OA-AL2i4
105,2.3439659309973706,OLVC2
106,2.583597855455486,LPT54
107,1.8838733503964256,OA-AL2i3
108,2.627240928554053,LoVP101
109,2.062861815058283,aMe17c
110,1.8944783732485795,DNc02
111,2.002202492884569,MeVP24
112,2.9937476056930516,Nod4
113,2.227122926392144,LoVC21
114,2.9668454496846746,H1
115,2.829616946828999,LT1c
116,2.996832983984299,VS
117,2.372755964951706,LT66
118,2.398206518547341,LT35
119,2.1413142070600704,MeVP47
120,2.0024327985029746,Pm11
121,2.690089684269247,MeVC2
122,2.1301462717514883,MeVPMe1
123,1.850460263311568,OA-AL2i3
124,2.736889022325286,OLVC3
125,1.0134024458888926,Dm17
126,2.1769985133759073,Cm31a
127,1.0181903808831159,Dm17
128,2.707459619798243,V1
129,2.1850146000515203,Cm31a
130,2.7310745398609306,H1
131,1.6095583077187114,l-LNv
132,2.0727189562217494,MeVPMe11
133,2.7408217892696003,OLVC1
134,2.998326892013012,LPi2b
135,1.9420327233522745,MeVP51
136,2.150837183233595,MeVP52
137,2.0047891642880855,MeVPMe1
138,2.5024584815356112,LoVC18
139,2.980602809772636,Nod1
140,3.956491882039696,LPT59
141,2.0024980140133923,Pm11
142,3.8946628764020166,vCal3
143,2.7381113090756983,LoVC20
144,2.8413578812285367,Li31
145,2.9171688490371745,LPT53
146,2.9011123261010243,LPT22
147,2.3047240271884615,MeVPMe3
148,2.468479347892446,Pm13
149,2.993497250249914,LPT21
150,1.8814903185830345,MeVC23
151,2.692129968903208,LT62
152,2.9922441860848425,vCal3
153,2.1050847652756235,aMe17c
154,2.9078038303291986,vCal1
155,2.825436831696449,LoVC4
