bodyId,cell_type,side,coords,idx,nt,sign
10009,CT1,left,,0,gaba,-1
10012,VS,right,,1,acetylcholine,1
10015,HSN,right,,2,acetylcholine,1
10016,HSE,right,,3,acetylcholine,1
10023,HSS,right,,4,acetylcholine,1
10025,H2,right,,5,acetylcholine,1
10027,VCH,left,,6,gaba,-1
10029,LoVC16,right,,7,glutamate,-1
10037,VS,right,,8,acetylcholine,1
10042,vCal2,left,,9,glutamate,-1
10046,MeVC11,left,,10,acetylcholine,1
10050,5-HTPMPV03,right,,11,serotonin,1
10051,Li39,left,,12,gaba,-1
10052,LoVC14,left,,13,gaba,-1
10053,LoVC16,right,,14,glutamate,-1
10060,MeVPOL1,left,,15,acetylcholine,1
10061,DCH,left,,16,gaba,-1
10063,DNp27,right,,17,unclear,1
10066,LPi21,right,,18,gaba,-1
10067,MeVPLp1,left,,19,acetylcholine,1
10068,DNp30,right,,20,unclear,1
10072,OA-AL2i1,right,,21,octopamine,1
10077,dCal1,left,,22,gaba,-1
10078,MeVC1,left,,23,acetylcholine,1
10093,Am1,right,,24,gaba,-1
10100,LoVCLo3,right,,25,octopamine,1
10102,MeVC25,right,,26,glutamate,-1
10106,DNp11,right,,27,unclear,1
10107,MeVCMe1,left,,28,acetylcholine,1
10112,VS,right,,29,acetylcholine,1
10114,Cm34,right,,30,glutamate,-1
10121,MeVPLp1,right,,31,acetylcholine,1
10125,MeVPMe1,right,,32,glutamate,-1
10143,DNp30,left,,33,unclear,1
10150,AN27X013,right,,34,unclear,1
10170,MeVPMe2,right,,35,glutamate,-1
10178,MeVPMe2,left,,36,glutamate,-1
10188,LoVC6,right,,37,gaba,-1
10189,MeVPMe2,right,,38,glutamate,-1
10190,MeVPMe2,right,,39,glutamate,-1
10206,VS,right,,40,acetylcholine,1
10214,LPT50,left,,41,gaba,-1
10222,MeVCMe1,right,,42,acetylcholine,1
10231,LT1b,right,,43,unclear,1
10250,LT79,right,,44,unclear,1
10255,MeVCMe1,left,,45,acetylcholine,1
10256,MeVPMe2,left,,46,glutamate,-1
10260,MeVC11,right,,47,acetylcholine,1
10266,LT87,right,,48,unclear,1
10269,OA-AL2i2,right,,49,octopamine,1
10272,MeVPMe2,left,,50,glutamate,-1
10275,MeVPMe13,right,,51,acetylcholine,1
10278,5-HTPMPV03,left,,52,serotonin,1
10284,VS,right,,53,acetylcholine,1
10286,DNpe053,left,,54,acetylcholine,1
10293,LoVC3,left,,55,gaba,-1
10298,MeVPMe13,left,,56,acetylcholine,1
10302,Li38,left,,57,gaba,-1
10303,aMe17e,right,,58,glutamate,-1
10308,LPi12,right,,59,gaba,-1
10311,VS,right,,60,acetylcholine,1
10312,MeVPMe2,right,,61,glutamate,-1
10314,MeVC4b,left,,62,acetylcholine,1
10317,LPT59,left,,63,glutamate,-1
10322,OA-AL2i2,right,,64,octopamine,1
10327,LPT57,right,,65,acetylcholine,1
10330,MeVPOL1,right,,66,acetylcholine,1
10335,LoVP102,right,,67,unclear,1
10337,LT34,right,,68,gaba,-1
10340,MeVPMe1,left,,69,glutamate,-1
10343,MeVPMe1,right,,70,glutamate,-1
10351,Li33,right,,71,acetylcholine,1
10352,Li32,right,,72,gaba,-1
10358,MeVPMe12,right,,73,acetylcholine,1
10367,MeVPMe1,right,,74,glutamate,-1
10372,LT1d,right,,75,unclear,1
10387,LT83,right,,76,acetylcholine,1
10403,VS,right,,77,acetylcholine,1
10415,LT36,left,,78,gaba,-1
10428,MeVCMe1,right,,79,acetylcholine,1
10432,LoVCLo3,left,,80,octopamine,1
10436,LPi12,right,,81,gaba,-1
10439,LT1a,right,,82,unclear,1
10441,dCal1,right,,83,gaba,-1
10443,MeVPMe12,left,,84,acetylcholine,1
10451,MeVPMe12,left,,85,acetylcholine,1
10457,mALD1,left,,86,gaba,-1
10476,LT11,right,,87,gaba,-1
10477,LoVC12,left,,88,gaba,-1
10480,MeVP53,right,,89,gaba,-1
10481,LPT50,right,,90,gaba,-1
10503,LPi4b,right,,91,gaba,-1
10508,aMe_TBD1,right,,92,unclear,1
10518,Cm31b,right,,93,gaba,-1
10531,Pm12,right,,94,glutamate,-1
10532,MeVC26,left,,95,acetylcholine,1
10533,MeVPMe1,left,,96,glutamate,-1
10541,MeVPMe1,left,,97,glutamate,-1
10542,LoVC25,left,,98,acetylcholine,1
10583,LPT60,right,,99,acetylcholine,1
10612,Pm12,right,,100,glutamate,-1
10630,LPT57,left,,101,acetylcholine,1
10663,LT39,right,,102,gaba,-1
10675,LT66,left,,103,acetylcholine,1
10677,OA-AL2i4,right,,104,octopamine,1
10679,OLVC2,left,,105,gaba,-1
10682,LPT54,right,,106,acetylcholine,1
10687,OA-AL2i3,right,,107,octopamine,1
10693,LoVP101,right,,108,unclear,1
10696,aMe17c,right,,109,glutamate,-1
10705,DNc02,left,,110,unclear,1
10723,MeVP24,right,,111,unclear,1
10729,Nod4,right,,112,acetylcholine,1
10730,LoVC21,left,,113,gaba,-1
10755,H1,right,,114,glutamate,-1
10764,LT1c,right,,115,unclear,1
10766,VS,right,,116,acetylcholine,1
10771,LT66,right,,117,acetylcholine,1
10787,LT35,left,,118,gaba,-1
10803,MeVP47,right,,119,unclear,1
10807,Pm11,right,,120,gaba,-1
10809,MeVC2,left,,121,acetylcholine,1
10818,MeVPMe1,left,,122,glutamate,-1
10825,OA-AL2i3,right,,123,octopamine,1
10836,OLVC3,left,,124,acetylcholine,1
10839,Dm17,right,,125,glutamate,-1
10843,Cm31a,right,,126,gaba,-1
10845,Dm17,right,,127,glutamate,-1
10854,V1,left,,128,acetylcholine,1
10860,Cm31a,right,,129,gaba,-1
10865,H1,left,,130,glutamate,-1
10870,l-LNv,right,,131,unclear,1
10882,MeVPMe11,left,,132,glutamate,-1
10891,OLVC1,right,,133,acetylcholine,1
10893,LPi2b,right,,134,gaba,-1
10896,MeVP51,right,,135,glutamate,-1
10901,MeVP52,right,,136,acetylcholine,1
10907,MeVPMe1,right,,137,glutamate,-1
10914,LoVC18,right,,138,dopamine,1
10915,Nod1,right,,139,acetylcholine,1
10928,LPT59,right,,140,glutamate,-1
10950,Pm11,right,,141,gaba,-1
10955,vCal3,left,,142,acetylcholine,1
10956,LoVC20,left,,143,gaba,-1
10974,Li31,right,,144,glutamate,-1
11003,LPT53,right,,145,gaba,-1
11009,LPT22,right,,146,gaba,-1
11015,MeVPMe3,left,,147,glutamate,-1
11029,Pm13,right,,148,glutamate,-1
11031,LPT21,right,,149,acetylcholine,1
11046,MeVC23,right,,150,glutamate,-1
11055,LT62,right,,151,unclear,1
11077,vCal3,right,,152,acetylcholine,1
11081,aMe17c,right,,153,glutamate,-1
11089,vCal1,right,,154,unclear,1
11106,LoVC4,right,,155,gaba,-1
11113,Mi19,right,,156,serotonin,1
11114,l-LNv,right,,157,unclear,1
11117,LPT27,right,,158,acetylcholine,1
11124,Nod2,right,,159,unclear,1
11130,Cm35,right,,160,gaba,-1
11134,VSm,right,,161,unclear,1
11146,MeVPMe2,right,,162,glutamate,-1
11152,PLP032,right,,163,unclear,1
11153,LC22,right,,164,acetylcholine,1
11155,OLVC5,right,,165,acetylcholine,1
11157,LT51,right,,166,unclear,1
11161,LoVP100,right,,167,unclear,1
11169,LPT52,right,,168,unclear,1
11180,LoVC5,right,,169,gaba,-1
11188,Dm17,right,,170,glutamate,-1
11202,MeVPMe11,right,,171,glutamate,-1
11212,l-LNv,right,,172,unclear,1
11214,LoVC22,left,,173,dopamine,1
11217,LT58,right,,174,glutamate,-1
11254,LT41,right,,175,gaba,-1
11260,MeVC4a,left,,176,acetylcholine,1
11264,OA-ASM1,left,,177,octopamine,1
11291,LT82a,right,,178,unclear,1
11293,Nod3,right,,179,unclear,1
11296,MeVC22,right,,180,glutamate,-1
11312,Dm17,right,,181,glutamate,-1
11319,LT42,right,,182,gaba,-1
11335,LT51,right,,183,unclear,1
11337,vCal1,left,,184,unclear,1
11344,MeVC6,left,,185,acetylcholine,1
11346,Nod1,right,,186,acetylcholine,1
11368,MeVC3,left,,187,acetylcholine,1
11369,DNc01,left,,188,unclear,1
11372,LC9,right,,189,acetylcholine,1
11375,MeVPLo1,right,,190,glutamate,-1
11384,MeVPMe6,left,,191,glutamate,-1
11385,MeVC22,right,,192,glutamate,-1
11394,Li16,right,,193,glutamate,-1
