bodyId,hitting_time,cell_group
10009,2.007554459,CT1
10012,2.999600907,VS
10015,2.994613799,HSN
10016,2.99660896,HSE
10023,2.974892426,HSS
10025,2.996516918,H2
10027,2.954663874,VCH
10029,2.391890481,LoVC16
10037,2.999824844,VS
10042,3.967672683,vCal2
10046,2.06995061,MeVC11
10050,2.31430843,5-HTPMPV03
10051,2.195303505,Li39
10052,2.652650572,LoVC14
10053,2.388306032,LoVC16
10060,2.238912034,MeVPOL1
10061,2.944777719,DCH
10063,2.080535587,DNp27
10066,2.996755498,LPi21
10067,2.871169375,MeVPLp1
10068,2.041555647,DNp30
10072,2.067950756,OA-AL2i1
10077,3.015384383,dCal1
10078,1.915009805,MeVC1
10093,2.793702703,Am1
10100,2.278990988,LoVCLo3
10102,2.008020227,MeVC25
10106,2.145015726,DNp11
10107,1.917871511,MeVCMe1
10112,2.999974085,VS
10114,2.592432406,Cm34
10121,1.887464131,MeVPLp1
10125,2.004063028,MeVPMe1
10143,2.19263799,DNp30
10150,1.908212259,AN27X013
10170,2.000322569,MeVPMe2
10178,1.949877081,MeVPMe2
10188,2.559119281,LoVC6
10189,2.004424123,MeVPMe2
10190,2.007671536,MeVPMe2
10206,2.999940958,VS
10214,2.95847714,LPT50
10222,1.884400349,MeVCMe1
10231,2.876287581,LT1b
10250,2.170642022,LT79
10255,1.924217893,MeVCMe1
10256,2.011068255,MeVPMe2
10260,3.137669488,MeVC11
10266,2.56094288,LT87
10269,2.052504973,OA-AL2i2
10272,1.903017258,MeVPMe2
10275,2.102591333,MeVPMe13
10278,2.255493076,5-HTPMPV03
10284,2.998875502,VS
10286,2.071963672,DNpe053
10293,2.783340256,LoVC3
10298,2.071834403,MeVPMe13
10302,2.002069118,Li38
10303,2.102477996,aMe17e
10308,2.989007023,LPi12
10311,2.999716777,VS
10312,2.013990666,MeVPMe2
10314,2.449293103,MeVC4b
10317,2.9542201,LPT59
10322,2.067904912,OA-AL2i2
10327,3.458631973,LPT57
10330,2.006382686,MeVPOL1
10335,2.496759186,LoVP102
10337,2.008111301,LT34
10340,2.131380702,MeVPMe1
10343,2.003992951,MeVPMe1
10351,2.864279045,Li33
10352,2.879802234,Li32
10358,1.968059663,MeVPMe12
10367,2.003501391,MeVPMe1
10372,2.957703902,LT1d
10387,2.627356359,LT83
10403,2.995775425,VS
10415,2.719333636,LT36
