,bodyid,hemilineage,class,predictedNt,somaNeuromere,rootSide,systematicType,type,somaSide,name,combined_type,nt_binary,idx
1,10000,,descending neuron,acetylcholine,,RHS,DNlt002,DNp01,,DNlt002_CvC_R,DNlt002_CvC_R,1,0
2,100000,12B,intrinsic neuron,gaba,T3,,IN12B033,IN12B033,RHS,IN12B033_T3_R,IN12B033_T3_R,-1,20067
3,100002,09A,intrinsic neuron,gaba,T1,,IN09A063,IN09A063,RHS,IN09A063_T1_R,IN09A063_T1_R,-1,20068
4,10001,,sensory neuron,glutamate,,,SNxxxx,SNxxxx,,SNxxxx_ProLN_R,SNxxxx_ProLN_R,-1,1
5,10002,,descending neuron,acetylcholine,,LHS,DNlt002,DNp01,,DNlt002_CvC_L,DNlt002_CvC_L,1,2
6,10002519754,,sensory neuron,glutamate,,,SNppxx,SNppxx,,SNppxx_MetaLN_R,SNppxx_MetaLN_R,-1,23353
7,100028,,sensory neuron,glutamate,,LHS,SNpp59,SNpp59,,SNpp59_ProLN_L,SNpp59_ProLN_L,-1,20069
8,100029,,sensory neuron,acetylcholine,,LHS,SNpp17,SNpp17,,SNpp17_ProCN_L,SNpp17_ProCN_L,1,20070
9,10003,,sensory neuron,acetylcholine,,LHS,SNta29,SNta29,,SNta29_ProLN_L,SNta29_ProLN_L,-1,3
10,100030,,sensory neuron,glutamate,,LHS,SNch08,SNch14,,SNch14_ProLN_L,SNch14_ProLN_L,-1,20071
11,100031,,sensory ascending,glutamate,,LHS,SAch02,SAch02,,SAch02_ProLN_L,SAch02_ProLN_L,-1,20072
12,100038,,sensory neuron,acetylcholine,,LHS,SNta30,SNta30,,SNta30_ProLN_L,SNta30_ProLN_L,-1,20073
13,100039,,sensory neuron,acetylcholine,,LHS,SNta27,SNta27,,SNta27_ProLN_L,SNta27_ProLN_L,1,20074
14,10004,13B,intrinsic neuron,gaba,T2,,IN13B070,IN13B070,LHS,IN13B070_T2_L,IN13B070_T2_L,-1,4
15,100046,,sensory neuron,acetylcholine,,LHS,SNpp41,SNpp41,,SNpp41_ProLN_L,SNpp41_ProLN_L,-1,20075
16,100054,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A092,IN20A.22A092,LHS,IN20A.22A092_T2_L,IN20A.22A092_T2_L,1,20076
17,100055,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A070,IN20A.22A070,LHS,IN20A.22A070_T2_L,IN20A.22A070_T2_L,1,20077
18,10005777996,,sensory neuron,glutamate,,LHS,SNch10,SNch10,,SNch10_MetaLN_L,SNch10_MetaLN_L,-1,23354
19,10005779719,,sensory neuron,glutamate,,LHS,SNch10,SNch10,,SNch10_MetaLN_L,SNch10_MetaLN_L,-1,23355
20,100058,,sensory neuron,glutamate,,RHS,SNpp39,SNpp39,,SNpp39_MesoLN_R,SNpp39_MesoLN_R,-1,20078
21,100061,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20079
22,100062,09A,intrinsic neuron,gaba,T2,,IN09A095,IN09A095,RHS,IN09A095_T2_R,IN09A095_T2_R,-1,20080
23,100064,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20081
24,100068,,sensory neuron,acetylcholine,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20082
25,100069,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20083
26,10007,,sensory neuron,acetylcholine,,RHS,SNpp03,SNpp03,,SNpp03_AbN3_R,SNpp03_AbN3_R,1,5
27,100070,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20084
28,100071,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20085
29,100072,13B,intrinsic neuron,gaba,T2,,IN13B090,IN13B090,LHS,IN13B090_T2_L,IN13B090_T2_L,-1,20086
30,100073,,sensory neuron,acetylcholine,,RHS,SNta23,SNta23,,SNta23_MesoLN_R,SNta23_MesoLN_R,1,20087
31,100074,,sensory neuron,acetylcholine,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20088
32,100075,04B,intrinsic neuron,acetylcholine,T2,,IN04B100,IN04B100,RHS,IN04B100_T2_R,IN04B100_T2_R,1,20089
33,10010,07B,intrinsic neuron,acetylcholine,T1,,IN07B001,IN07B001,LHS,IN07B001_T1_L,IN07B001_T1_L,1,6
34,10011,16B,motor neuron,glutamate,T2,,MNwm03,hg1 MN,RHS,MNwm03_ADMN_R,MNwm03_ADMN_R,-1,7
35,100118,,sensory neuron,acetylcholine,,RHS,SNpp41,SNpp41,,SNpp41_MesoLN_R,SNpp41_MesoLN_R,-1,20090
36,10012,,descending neuron,acetylcholine,,RHS,DNxn033,DNp18,,DNxn033_CvC_R,DNxn033_CvC_R,1,8
37,100121,09A,intrinsic neuron,gaba,T2,,IN09A038,IN09A038,RHS,IN09A038_T2_R,IN09A038_T2_R,-1,20091
38,100123,,sensory neuron,acetylcholine,,RHS,SNpp59,SNpp59,,SNpp59_MesoLN_R,SNpp59_MesoLN_R,1,20092
39,100126,,sensory neuron,acetylcholine,,RHS,SNta35,SNta35,,SNta35_MesoLN_R,SNta35_MesoLN_R,-1,20093
40,10012658878,,sensory neuron,glutamate,,,SNta29,SNta29,,SNta29_MetaLN_L,SNta29_MetaLN_L,-1,23356
41,100128,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20094
42,10013,16B,motor neuron,glutamate,T2,,MNwm16,b1 MN,LHS,MNwm16_ADMN_L,MNwm16_ADMN_L,-1,9
43,100132,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20095
44,100139,03A,intrinsic neuron,acetylcholine,T1,,IN03A014,IN03A014,RHS,IN03A014_T1_R,IN03A014_T1_R,1,20096
45,10014,03B,motor neuron,gaba,T1,,MNwm20,DLMn c-f,LHS,MNwm20_PDMNa_L,MNwm20_PDMNa_L,-1,10
46,100140,21A,intrinsic neuron,glutamate,T1,,IN21A079,IN21A079,RHS,IN21A079_T1_R,IN21A079_T1_R,-1,20097
47,100141,21A,intrinsic neuron,glutamate,T1,,IN21A079,IN21A079,RHS,IN21A079_T1_R,IN21A079_T1_R,-1,20098
48,100142,21A,intrinsic neuron,glutamate,T1,,IN21A070,IN21A070,RHS,IN21A070_T1_R,IN21A070_T1_R,-1,20099
49,100146,,sensory neuron,acetylcholine,,RHS,SNxx07,SNxx07,,SNxx07_AbNT_R,SNxx07_AbNT_R,1,20100
50,100147,TBD,intrinsic neuron,gaba,A7,,INXXX417,INXXX417,LHS,INXXX417_A7_L,INXXX417_A7_L,-1,20101
51,100155,,sensory neuron,glutamate,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20102
52,100156,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20103
53,100157,,sensory neuron,acetylcholine,,RHS,SNta45,SNta45,,SNta45_MesoLN_R,SNta45_MesoLN_R,1,20104
54,100159,,sensory neuron,glutamate,,RHS,SNxxxx,SNxxxx,,SNxxxx_MesoLN_R,SNxxxx_MesoLN_R,-1,20105
55,10015998788,,sensory neuron,glutamate,,,SNta29,SNta29,,SNta29_MetaLN_L,SNta29_MetaLN_L,-1,23357
56,10016,19B,ascending neuron,acetylcholine,T1,RHS,AN19B001,AN19B001,LHS,AN19B001_T1_L,AN19B001_T1_L,1,11
57,100167,07B,ascending neuron,acetylcholine,T2,RHS,AN07B046,AN07B046,LHS,AN07B046_T2_L,AN07B046_T2_L,1,20106
58,10017,16B,motor neuron,glutamate,T2,,MNwm16,b1 MN,RHS,MNwm16_ADMN_R,MNwm16_ADMN_R,-1,12
