,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
1,19A,intrinsic neuron,gaba,T2,,IN19A030,IN19A030,LHS,IN19A030_T2_L,IN19A030_T2_L,-1,8076
2,09B,intrinsic neuron,glutamate,T3,,IN09B049,IN09B049,RHS,IN09B049_T3_R,IN09B049_T3_R,-1,5478
3,08B,intrinsic neuron,acetylcholine,T2,,IN08B004,IN08B004,RHS,IN08B004_T2_R,IN08B004_T2_R,1,4964
4,10B,intrinsic neuron,acetylcholine,T2,,IN10B002,IN10B002,RHS,IN10B002_T2_R,IN10B002_T2_R,1,5500
5,,sensory neuron,acetylcholine,,RHS,SNta04,SNta04,,SNta04_ADMN_R,SNta04_ADMN_R,1,11358
6,13B,intrinsic neuron,gaba,T1,,IN13B055,IN13B055,LHS,IN13B055_T1_L,IN13B055_T1_L,-1,6696
7,16B,intrinsic neuron,glutamate,T3,,IN16B101,IN16B101,LHS,IN16B101_T3_L,IN16B101_T3_L,-1,7510
8,,descending neuron,acetylcholine,,RHS,DNxl047,DNg107,,DNxl047_CvC_R,DNxl047_CvC_R,1,1837
9,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A086,IN20A.22A086,RHS,IN20A.22A086_T3_R,IN20A.22A086_T3_R,1,8763
10,03B,intrinsic neuron,glutamate,T1,,IN03B008,IN03B008,LHS,IN03B008_T1_L,IN03B008_T1_L,-1,3607
11,,sensory neuron,acetylcholine,,LHS,SNta11,SNta11,,SNta11_ADMN_L,SNta11_ADMN_L,1,11371
12,09B,ascending neuron,acetylcholine,T2,BIL,AN09B031,AN09B031,RHS,AN09B031_T2_R,AN09B031_T2_R,1,719
13,09A,intrinsic neuron,gaba,T3,,IN09A031,IN09A031,RHS,IN09A031_T3_R,IN09A031_T3_R,-1,5208
14,04B,intrinsic neuron,acetylcholine,T3,,IN04B074,IN04B074,LHS,IN04B074_T3_L,IN04B074_T3_L,1,3939
15,16B,motor neuron,unknown,T2,,MNwm21,DVMn 1a-c,RHS,MNwm21_ADMN_R,MNwm21_ADMN_R,1,10964
16,,sensory neuron,acetylcholine,,LHS,SNch03,SNch03,,SNch03_ADMN_L,SNch03_ADMN_L,1,11095
17,08B,intrinsic neuron,acetylcholine,T3,,IN08B072,IN08B072,RHS,IN08B072_T3_R,IN08B072_T3_R,1,5032
18,17B,ascending neuron,gaba,A1,LHS,AN17B002,AN17B002,LHS,AN17B002_A1_L,AN17B002_A1_L,-1,1014
19,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A069,IN20A.22A069,RHS,IN20A.22A069_T1_R,IN20A.22A069_T1_R,1,8715
20,05B,ascending neuron,gaba,T2,RHS,AN05B052,AN05B052,LHS,AN05B052_T2_L,AN05B052_T2_L,-1,174
21,06B,intrinsic neuron,gaba,T3,,IN06B052,IN06B052,RHS,IN06B052_T3_R,IN06B052_T3_R,-1,4569
22,13B,intrinsic neuron,gaba,T1,,IN13B079,IN13B079,LHS,IN13B079_T1_L,IN13B079_T1_L,-1,6777
23,09A,intrinsic neuron,gaba,T1,,IN09A093,IN09A093,LHS,IN09A093_T1_L,IN09A093_T1_L,-1,5395
24,,sensory neuron,acetylcholine,,RHS,SNta37,SNta37,,SNta37_MesoLN_R,SNta37_MesoLN_R,1,11473
25,,sensory neuron,glutamate,,LHS,SNta23,SNta23,,SNta23_MetaLN_L,SNta23_MetaLN_L,-1,11403
26,12A,intrinsic neuron,acetylcholine,T1,,IN12A020,TN1a,RHS,IN12A020_T1_R,IN12A020_T1_R,1,5841
27,,descending neuron,gaba,,RHS,DNnt011,DNnt011,,DNnt011_CvC_R,DNnt011_CvC_R,-1,1599
28,,sensory neuron,acetylcholine,,LHS,SNta09,SNta09,,SNta09_PDMN_L,SNta09_PDMN_L,1,11367
29,,sensory neuron,acetylcholine,,RHS,SNch09,SNch09,,SNch09_MetaLN_R,SNch09_MetaLN_R,1,11122
30,,sensory neuron,acetylcholine,,RHS,SNta42,SNta42,,SNta42_MesoLN_R,SNta42_MesoLN_R,1,11499
31,06A,intrinsic neuron,gaba,T3,,IN06A078,IN06A078,LHS,IN06A078_T3_L,IN06A078_T3_L,-1,4344
32,,descending neuron,acetylcholine,,LHS,DNxl098,DNxl098,,DNxl098_CvC_L,DNxl098_CvC_L,1,1936
