pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,CB2947,2,False,False,False,False,False,False
AN_GNG_125,CB2947,3,False,False,False,False,False,False
AN_GNG_125,CB2947,4,False,False,False,False,False,False
AN_GNG_125,CB2947,5,False,False,False,False,False,False
AN_GNG_125,MBON19,2,False,False,False,False,False,False
AN_GNG_125,MBON19,3,False,False,False,False,False,False
AN_GNG_125,MBON19,4,False,False,False,False,False,False
AN_GNG_125,MBON19,5,False,False,False,False,False,False
AN_GNG_125,SAD017,2,False,False,False,False,False,False
AN_GNG_125,SAD017,3,False,False,False,False,False,False
AN_GNG_125,SAD017,4,False,False,False,False,False,False
AN_GNG_125,SAD017,5,False,False,False,False,False,False
AN_GNG_125,CB0913,2,False,False,False,False,False,False
AN_GNG_125,CB0913,3,False,False,False,False,False,False
AN_GNG_125,CB0913,4,False,False,False,False,False,False
AN_GNG_125,CB0913,5,False,False,False,False,False,False
AN_GNG_125,CB3339,2,False,False,False,False,False,False
AN_GNG_125,CB3339,3,False,False,False,False,False,False
AN_GNG_125,CB3339,4,False,False,False,False,False,False
AN_GNG_125,CB3339,5,False,False,False,False,False,False
AN_GNG_125,AVLP187,2,False,False,False,False,False,False
AN_GNG_125,AVLP187,3,False,False,False,False,False,False
AN_GNG_125,AVLP187,4,False,False,False,False,False,False
AN_GNG_125,AVLP187,5,False,False,False,False,False,False
AN_GNG_125,CB0894,2,False,False,False,False,False,False
AN_GNG_125,CB0894,3,False,False,False,False,False,False
AN_GNG_125,CB0894,4,False,False,False,False,False,False
AN_GNG_125,CB0894,5,False,False,False,False,False,False
AN_GNG_125,CL352,2,False,False,False,False,False,False
AN_GNG_125,CL352,3,False,False,False,False,False,False
AN_GNG_125,CL352,4,False,False,False,False,False,False
AN_GNG_125,CL352,5,False,False,False,False,False,False
AN_GNG_125,PLP182,2,False,False,False,False,False,False
AN_GNG_125,PLP182,3,False,False,False,False,False,False
AN_GNG_125,PLP182,4,False,False,False,False,False,False
AN_GNG_125,PLP182,5,False,False,False,False,False,False
AN_GNG_125,CB0406,2,False,False,False,False,False,False
AN_GNG_125,CB0406,3,False,False,False,False,False,False
AN_GNG_125,CB0406,4,False,False,False,False,False,False
AN_GNG_125,CB0406,5,False,False,False,False,False,False
AN_GNG_125,CB0283,2,False,False,False,False,False,False
AN_GNG_125,CB0283,3,False,False,False,False,False,False
AN_GNG_125,CB0283,4,False,False,False,False,False,False
AN_GNG_125,CB0283,5,False,False,False,False,False,False
AN_GNG_125,SMP369,2,False,False,False,False,False,False
AN_GNG_125,SMP369,3,False,False,False,False,False,False
AN_GNG_125,SMP369,4,False,False,False,False,False,False
AN_GNG_125,SMP369,5,False,False,False,False,False,False
AN_GNG_125,CB1791,2,False,False,False,False,False,False
AN_GNG_125,CB1791,3,False,False,False,False,False,False
AN_GNG_125,CB1791,4,False,False,False,False,False,False
