pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
L3_right,LPT30_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LPT30_left,2,1.0974623592119317e-06,0.0,0.0,0.0,0.0,0.0
L3_right,LPT30_left,3,0.0002544453018344,0.0002511866623535,0.0002189058432122,0.0001821903715608,0.0,0.0
L3_right,LPT30_left,4,0.0008172363159246,0.0007653998909518,0.0005329442210495,0.0003105925279669,0.0,0.0
L3_right,LPT30_left,5,0.0008406628039665,0.0007507512927986,0.0003186739631928,0.0001293621317017,0.0,0.0
L3_right,cM14_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,cM14_left,2,2.4157604912034003e-06,0.0,0.0,0.0,0.0,0.0
L3_right,cM14_left,3,7.36773872631602e-05,6.273642065934837e-05,0.0,0.0,0.0,0.0
L3_right,cM14_left,4,0.0005416580825112,0.0004608125600498,7.838505553081632e-05,0.0,0.0,0.0
L3_right,cM14_left,5,0.0015310959424823,0.0013010201510041,0.0002455532667227,0.0,0.0,0.0
L3_right,LT81_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LT81_right,2,0.0006975466385483,0.0006873346865177,0.0005405005649663,0.0,0.0,0.0
L3_right,LT81_right,3,0.0040264390408992,0.0038730709347873,0.0025275363586843,0.0,0.0,0.0
L3_right,LT81_right,4,0.0059661930426955,0.0054595754481852,0.0028828487265855,0.000273912155535,0.0001683761656749,0.0
L3_right,LT81_right,5,0.0064214658923447,0.0056532397866249,0.0026190942153334,0.000462955533294,0.00017299981846,0.0
L3_right,cLLP02_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,cLLP02_right,2,7.114021173038054e-06,3.574423544705496e-06,0.0,0.0,0.0,0.0
L3_right,cLLP02_right,3,0.0001115007689804,3.841135185211897e-05,0.0,0.0,0.0,0.0
L3_right,cLLP02_right,4,0.0005723278736695,0.0003143863577861,5.19617460668087e-05,0.0,0.0,0.0
L3_right,cLLP02_right,5,0.0012164096115157,0.000715086585842,0.0001733254466671,2.4741051674936895e-05,0.0,0.0
L3_right,LTe47_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LTe47_right,2,0.0003336875233799,0.000307242560666,0.0,0.0,0.0,0.0
L3_right,LTe47_right,3,0.0052006933838129,0.0049292012117803,0.0036870820913463,0.0009916831040754,0.0009916831040754,0.0
L3_right,LTe47_right,4,0.0063847857527434,0.0058455164544284,0.003063851268962,0.0004606951843015,0.0001793484261725,0.0
L3_right,LTe47_right,5,0.0058996127918362,0.0050891172140836,0.0024120560847222,0.0004931623698212,0.0001897918700706,0.0
L3_right,MTe01a_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,MTe01a_right,2,0.0053756893612444,0.0053347586654126,0.004599786363542,0.0037650128360837,0.0,0.0
L3_right,MTe01a_right,3,0.0203517843037843,0.0195171050727367,0.0152867147698998,0.0112184695899486,0.0102646872401237,0.0
L3_right,MTe01a_right,4,0.0245509501546621,0.0233786720782518,0.0169780980795621,0.0114415027201175,0.0079580098390579,0.0
L3_right,MTe01a_right,5,0.0179189033806324,0.0163758937269449,0.0096593769267201,0.004921284969896,0.0019385371124371,0.0
L3_right,LT65_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LT65_right,2,0.0002213931729784,0.0002079135883832,0.0,0.0,0.0,0.0
L3_right,LT65_right,3,0.0053209997713565,0.0050300476141273,0.0029944996349513,0.0013920764904469,0.0,0.0
L3_right,LT65_right,4,0.0127819031476974,0.0119253704324364,0.0076711126603186,0.0035934962797909,0.0029540215618908,0.0
L3_right,LT65_right,5,0.0131810763850808,0.0118771744892001,0.0065283686853945,0.0025699555408209,0.0015248857671394,0.0
L3_right,LT70_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LT70_left,2,6.862765530968318e-06,6.862765530968318e-06,0.0,0.0,0.0,0.0
L3_right,LT70_left,3,0.000111546498374,0.0001086985139409,9.593930008122696e-05,0.0,0.0,0.0
L3_right,LT70_left,4,0.000684100028593,0.0006446117185987,0.0003467000497039,0.0,0.0,0.0
L3_right,LT70_left,5,0.0014200876466929,0.0012774845818057,0.0004968164139427,2.046223562501837e-05,0.0,0.0
L3_right,MTe37_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,MTe37_left,2,1.8258371028423424e-06,0.0,0.0,0.0,0.0,0.0
L3_right,MTe37_left,3,1.1160965186718386e-05,5.605703790934058e-06,0.0,0.0,0.0,0.0
L3_right,MTe37_left,4,0.0002545160241425,0.0002147201303159,4.930131581204478e-06,0.0,0.0,0.0
L3_right,MTe37_left,5,0.0009421773720532,0.0008092655916698,0.0001198777245008,3.437590930843726e-05,0.0,0.0
L3_right,LTe57_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LTe57_left,2,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LTe57_left,3,9.769000826054253e-07,1.969308698335226e-07,0.0,0.0,0.0,0.0
L3_right,LTe57_left,4,5.738028266932815e-05,3.966530130128376e-05,4.8731685637903865e-06,0.0,0.0,0.0
L3_right,LTe57_left,5,0.0002241795882582,0.0001615697983652,2.112848233082332e-05,0.0,0.0,0.0
L3_right,MTe01a_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,MTe01a_left,2,6.7017890614806674e-06,6.0195188780198805e-06,0.0,0.0,0.0,0.0
L3_right,MTe01a_left,3,2.819440851453692e-05,9.895680705085397e-06,0.0,0.0,0.0,0.0
L3_right,MTe01a_left,4,0.0004614855861291,0.0003152384306304,7.580001692986116e-05,1.5216922292893288e-05,0.0,0.0
L3_right,MTe01a_left,5,0.001598895760253,0.0013489362318068,0.0005291785346344,0.000221856200369,0.0,0.0
L3_right,LC10f_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LC10f_right,2,0.0006636307807639,0.0006352700293064,0.0,0.0,0.0,0.0
