pre,post,plen,effconn,effconn_e,effconn_i,e_effconn,ad_effconn,ad_effconn_e,ad_effconn_i,ad_e_effconn
720575940630622509,720575940630622509,2,0.0021623042412102,0.0008591719,0.0013031327398493,0.0,0.0006677702185697,0.0006212734733708,4.649675611290149e-05,0.0
720575940630622509,720575940630622509,3,0.0003503961488604,0.00014949188,0.0002009042946156,0.0,0.0001904291857499,3.7499990867218e-05,0.0001529292203485,0.0
720575940630622509,720575940630622509,4,0.0001385141032039,7.9539925e-05,7.334884867304936e-05,0.0,5.3147641902587146e-05,2.9203078156569973e-05,2.496244997018948e-05,0.0
720575940630622509,720575940630622509,5,6.727192749120167e-05,3.828173e-05,3.665977055788972e-05,0.0,4.106751521879845e-05,2.1384919818956405e-05,2.0288658561185e-05,0.0
720575940622438621,720575940622438621,2,0.0010338691063225,0.0008893736,0.0001444954104954,0.0,0.0,0.0,0.0,0.0
720575940622438621,720575940622438621,3,0.0001497972989454,5.1444502e-05,9.835281525738536e-05,0.0,6.050166848581284e-05,8.118300684145652e-06,5.23833696206566e-05,0.0
720575940622438621,720575940622438621,4,5.284352641103479e-05,2.8763498e-05,2.6318462914787236e-05,0.0,1.632976818655152e-05,8.624567271908745e-06,7.705206371610984e-06,0.0
720575940622438621,720575940622438621,5,2.455193645008957e-05,1.2779463e-05,1.286647511733463e-05,0.0,6.991029387167071e-06,3.662874860310694e-06,3.4493173188820947e-06,0.0
720575940628899454,720575940628899454,2,0.0036065194290131,0.0011517013,0.0024548186920583,0.0011304015060886,3.2917123462539166e-05,3.2917123462539166e-05,0.0,1.424298625352094e-05
720575940628899454,720575940628899454,3,0.000509699108079,0.00024409019,0.000265608949121,9.169705299427731e-05,9.91341676126467e-06,3.5280786505609285e-06,6.385339474945795e-06,1.374052772007417e-06
720575940628899454,720575940628899454,4,0.0001611390652314,9.268049e-05,8.837036875775084e-05,1.6618122046433285e-05,9.623200991251892e-06,5.3591938922181726e-06,4.275000719644595e-06,5.398226905075002e-07
720575940628899454,720575940628899454,5,7.075586117771875e-05,3.8645405e-05,3.920937888324261e-05,3.695010829905345e-06,4.3321028526433446e-06,2.1135169845365454e-06,2.2405452000384685e-06,1.2448333005187396e-07
720575940612291682,720575940612291682,2,0.0003909672959707,0.00015867644,0.0002322907821508,0.000155170171638,2.7084465727966744e-06,2.7084465727966744e-06,0.0,0.0
720575940612291682,720575940612291682,3,8.261801849585027e-05,3.7129168e-05,4.548884317046032e-05,1.8453325537848286e-05,3.935238055419177e-06,2.4922273951233365e-06,1.443011569790542e-06,8.393686101726416e-08
720575940612291682,720575940612291682,4,3.57252400040771e-05,1.8348608e-05,1.807991247915197e-05,3.138469250721087e-06,4.3908280238041765e-06,2.007405782933347e-06,2.3914058147056494e-06,1.2685804051670857e-07
720575940612291682,720575940612291682,5,2.0932738821685745e-05,1.0916927e-05,1.0547304555075245e-05,7.335835061211901e-07,4.515472396980174e-06,2.273534391861176e-06,2.2511349015985616e-06,6.527293044959793e-08
720575940627800728,720575940627800728,2,0.0013970045838505,0.0004595558,0.0009374487563036,0.0,1.709869502519723e-05,1.207280178050496e-07,1.6977965060505085e-05,0.0
720575940627800728,720575940627800728,3,0.0003349155886098,0.00015583921,0.0001790761307347,0.0,0.0002597969723865,3.046834171982482e-05,0.0002293286670465,0.0
720575940627800728,720575940627800728,4,0.0002141041827344,0.00010563202,0.0001123314068536,0.0,0.0001662054027773,8.578681445214897e-05,8.041983528528363e-05,0.0
720575940627800728,720575940627800728,5,0.0001452006615121,7.125767e-05,7.633093628101051e-05,0.0,7.20762270535442e-05,3.412376099731773e-05,3.814141746261157e-05,0.0
720575940625586122,720575940625586122,2,0.0008896749932318,0.00035138978,0.0005382850649766,0.0,2.5743980586412363e-05,5.684935786121059e-06,2.005904752877541e-05,0.0
720575940625586122,720575940625586122,3,0.0002097484684782,0.00010336678,0.0001063818199327,0.0,2.427728395559825e-05,9.139783287537284e-06,1.5137501577555668e-05,0.0
720575940625586122,720575940625586122,4,0.000110927675663,5.865611e-05,5.602548480965197e-05,0.0,1.539927422843054e-05,6.914879122632556e-06,8.57337363413535e-06,0.0
720575940625586122,720575940625586122,5,7.25772999586433e-05,3.8101192e-05,3.6866742448182777e-05,0.0,1.087644185305575e-05,5.678418347088154e-06,5.33110141986981e-06,0.0
720575940659400577,720575940659400577,2,0.0064314636401832,0.0036152634,0.0028162007220089,0.0036050563212484,0.0001580079842824,8.939746476244181e-05,6.861052679596469e-05,8.939746476244181e-05
720575940659400577,720575940659400577,3,0.0008919104584492,0.00052094314,0.0003709674347192,0.0003628754348028,3.95000352000352e-05,2.449484782118816e-05,1.500518192187883e-05,4.896076461591292e-06
720575940659400577,720575940659400577,4,0.0003486095887043,0.00023824896,0.0001672452199272,0.0001115950605112,6.9762917596225445e-06,3.4481556667742552e-06,3.649261998361908e-06,4.9635636832587e-08
720575940659400577,720575940659400577,5,0.0001999676408365,0.00012696622,9.686042176326735e-05,5.058785244874985e-05,3.670688585848445e-06,1.7660424873611191e-06,1.995604407056817e-06,2.8118714018285003e-08
720575940636455280,720575940636455280,2,0.0045148227363824,0.0016206304,0.0028941929340362,0.0,3.917345020454377e-05,0.0,3.917345020454377e-05,0.0
720575940636455280,720575940636455280,3,0.0022198180668056,0.00077388855,0.0014459281228482,0.0,5.395817424869165e-05,1.0343762824049918e-06,5.292379864840768e-05,0.0
720575940636455280,720575940636455280,4,0.0019230098950115,0.0010202138,0.0009500727173872,0.0,2.49324154167469e-05,1.110386165237287e-05,1.3836073776474224e-05,0.0
720575940636455280,720575940636455280,5,0.0016313543794395,0.0008410019,0.0008614261751063,0.0,2.2788009872387456e-05,1.0709652087825816e-05,1.2136748409830034e-05,0.0
720575940629262380,720575940629262380,2,0.0001783263724064,0.00013624676,4.2079609556822106e-05,0.0001069199424819,0.0,0.0,0.0,0.0
720575940629262380,720575940629262380,3,4.6473975089611486e-05,2.463313e-05,2.1840845874976367e-05,1.3827743714500684e-05,1.2710188457276672e-05,8.128291483444627e-06,4.581896973832045e-06,8.128291483444627e-06
720575940629262380,720575940629262380,4,1.6010319458447025e-05,8.078956e-06,8.256057299149688e-06,2.575452310388837e-06,3.792806865021703e-06,1.124094751503435e-06,2.6687125682656188e-06,2.2742732141978197e-07
720575940629262380,720575940629262380,5,7.540625304830829e-06,3.9027927e-06,3.872579782182584e-06,5.142433598639864e-07,2.278627255576333e-06,1.3484487908499432e-06,9.324443226432776e-07,7.2555131680474e-08
720575940615281361,720575940615281361,2,0.003955943044275,0.0005727569,0.0033831838518381,0.0,0.0002441096148686,3.403016535230563e-06,0.0002407066203886,0.0
720575940615281361,720575940615281361,3,0.0014818168710917,0.00043443573,0.0010473815491423,0.0,0.0016050259582698,0.0001207455570693,0.0014842816162854,0.0
720575940615281361,720575940615281361,4,0.0007007630864258,0.00035610888,0.0003664885589387,0.0,0.0005723563879241,0.0002484003198333,0.0003240279329475,0.0
720575940615281361,720575940615281361,5,0.0004671380182361,0.00024372598,0.0002431403845548,0.0,0.0004419230899149,0.000211614620639,0.0002362686645938,0.0
720575940612468594,720575940612468594,2,0.006041404325515,0.0034024152,0.0026389895938336,0.0,1.4479176115855807e-06,0.0,1.4479176115855807e-06,0.0
