pre,post,plen,connected,effconn,effconn_e,effconn_ad,effconn_ad_e
CB1729,CB1729,1,True,0.0024875621311366,0.0024875621311366,0.0,0.0
CB1729,CB1729,2,True,0.0004844579088967,0.0004436236340552,6.443830352509394e-05,4.809998063137755e-05
CB1729,CB1729,3,True,7.79469555709511e-05,3.854373062495142e-05,2.4299324650201012e-05,8.40395296108909e-06
CB1729,CB1729,4,True,5.3987136197974905e-05,1.1854061085614376e-05,1.4120965715846978e-05,2.0496524939517258e-06
CB1729,CB1729,5,True,3.816965545411222e-05,4.9552695600141305e-06,8.765890015638433e-06,7.338927048294863e-07
CB0132,CB0132,1,False,0.0,0.0,0.0,0.0
CB0132,CB0132,2,True,0.0011581741273403,0.0005579789867624,0.0003952067927457,0.0003406523319426
CB0132,CB0132,3,True,0.0003797032986767,0.0001363866904284,0.0001390705147059,4.571728641167283e-05
CB0132,CB0132,4,True,0.0002616021665744,3.4427794162184e-05,9.686152770882472e-05,1.6233687347266823e-05
CB0132,CB0132,5,True,0.0001674399536568,1.0839041351573542e-05,4.972772876499221e-05,4.004712991445558e-06
AVLP308,AVLP308,1,True,0.0012547464575618,0.0012547464575618,0.0,0.0
AVLP308,AVLP308,2,True,0.0009882254526019,0.0004708625492639,0.0003360032278578,0.0001491290167905
AVLP308,AVLP308,3,True,0.0003111208498012,7.059240306261927e-05,6.889653741382062e-05,1.002901808533352e-05
AVLP308,AVLP308,4,True,0.0002175966947106,2.392480382695794e-05,2.6698953661252744e-05,4.266588803147897e-06
AVLP308,AVLP308,5,True,0.0001622166164452,8.951090421760455e-06,1.2176366908533964e-05,1.0852917284864816e-06
CB1730,CB1730,1,True,0.0030165913049131,0.0030165913049131,0.0,0.0
CB1730,CB1730,2,True,0.0008495628135278,0.0006428265478461,0.0,0.0
CB1730,CB1730,3,True,0.0002169625950045,9.45704014156945e-05,0.0,0.0
CB1730,CB1730,4,True,9.60588367888704e-05,1.961702037078794e-05,0.0,0.0
CB1730,CB1730,5,True,4.515962064033374e-05,5.0468033805373125e-06,0.0,0.0
CB1731,CB1731,1,True,0.0086917430162429,0.0086917430162429,0.0009578543831594,0.0009578543831594
CB1731,CB1731,2,True,0.0006437979754991,0.0003487633075565,0.0001197403034893,3.3982109926000703e-06
CB1731,CB1731,3,True,0.0001110597877413,2.184106233471539e-05,2.0171672076685358e-05,9.464604886488814e-07
CB1731,CB1731,4,True,5.369487189454958e-05,3.603863433454535e-06,1.151548985944828e-05,3.576273002181552e-07
CB1731,CB1731,5,True,3.281480894656852e-05,1.1358865776855964e-06,7.91643287811894e-06,1.4371229895004944e-07
SLP019,SLP019,1,True,0.0141581827774643,0.0,0.004455444868654,0.0
SLP019,SLP019,2,True,0.0094962446019053,0.0,0.0098244110122323,0.0
SLP019,SLP019,3,True,0.0011562841245904,0.0,0.0004154506896156,0.0
SLP019,SLP019,4,True,0.0005451592733152,0.0,0.0003040719020646,0.0
SLP019,SLP019,5,True,0.000264346221229,0.0,0.0001117018109653,0.0
CB1733,CB1733,1,False,0.0,0.0,0.0,0.0
CB1733,CB1733,2,True,0.0002022120606852,0.0,2.539643901400268e-06,0.0
CB1733,CB1733,3,True,3.0524464818881825e-05,0.0,7.886287107794487e-07,0.0
CB1733,CB1733,4,True,1.3812938959745225e-05,0.0,1.430692805115541e-06,0.0
CB1733,CB1733,5,True,6.754597961844411e-06,0.0,5.411423558143724e-07,0.0
CB1734,CB1734,1,True,0.0024529751390218,0.0024529751390218,0.0,0.0
CB1734,CB1734,2,True,0.0002646767534315,0.0001819078315747,2.701171979424544e-05,4.785158580489224e-06
CB1734,CB1734,3,True,8.919530955608934e-05,2.8914651920786127e-05,2.5863057089736685e-05,1.294210505875526e-05
CB1734,CB1734,4,True,4.418290336616337e-05,6.043071152816992e-06,1.0743228813225867e-05,3.370595095475437e-06
CB1734,CB1734,5,True,2.5573879611329176e-05,1.7647870436121591e-06,6.893682893860387e-06,1.1527241667863564e-06
